alternative_id;nazwa;ensemble_score;ensemble_rank
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.639014274919902;1.0
75;DZIAŁALNOŚĆ WETERYNARYJNA;0.5383244509403502;2.0
05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.5008621992209226;3.0
59;DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH;0.48472981114124924;4.0
72;BADANIA NAUKOWE I PRACE ROZWOJOWE;0.4834443511720869;5.0
50;TRANSPORT WODNY;0.4800053312458221;6.0
62;DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE;0.47751605045128576;7.0
03;RYBACTWO;0.465954000266251;8.0
02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.4527156612323456;9.0
43;ROBOTY BUDOWLANE SPECJALISTYCZNE;0.44681106302038587;10.0
15;PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH, PRODUKCJA PODOBNYCH WYROBÓW Z INNYCH MATERIAŁÓW;0.4466655217765422;11.0
80;DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA;0.42552751173093983;12.0
69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.42475879043934195;13.0
74;POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.42424996170094875;14.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.4165722198751016;15.0
08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.4118969711408419;16.0
23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.41133933124121713;17.0
14;PRODUKCJA ODZIEŻY;0.4113230596180451;18.0
20;PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH;0.40985340781957963;19.0
