ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6299430366741717;0.4982754625619234;0.8990302296781876;0.496565171279221;1.0;2.0;1.0
2.0;58;DZIAŁALNOŚĆ WYDAWNICZA;0.6071277906192145;0.43868766530978853;0.9494324427793284;0.43837692632295877;4.0;1.0;4.0
3.0;75;DZIAŁALNOŚĆ WETERYNARYJNA;0.5798256731686044;0.4266072291692053;0.8914491396585061;0.4260796219278223;5.0;3.0;5.0
4.0;03;RYBACTWO;0.5547334756821097;0.48956782458853304;0.6884583933365056;0.4881906581377851;2.0;20.0;2.0
5.0;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.5268237460692482;0.40454953513635294;0.7758076235998234;0.4038408343714999;7.0;5.0;7.0
6.0;02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.5263460943365326;0.3875327241519455;0.8084273427303892;0.38729197725106473;8.0;4.0;8.0
7.0;38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.48461772463291686;0.35201032909620816;0.7540762943337317;0.35179158500304913;15.0;7.0;15.0
8.0;39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.4781627626963941;0.35464672558563126;0.7292319140741053;0.3543612106137677;13.0;14.0;13.0
9.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4779707289537126;0.33962326539979665;0.7587530811144558;0.3397251017764979;18.0;6.0;18.0
10.0;72;BADANIA NAUKOWE I PRACE ROZWOJOWE;0.4754160935646626;0.34056148963478283;0.750005454663536;0.3397911821947569;17.0;8.0;17.0
11.0;15;PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH, PRODUKCJA PODOBNYCH WYROBÓW Z INNYCH MATERIAŁÓW;0.4727744329171135;0.33918976544886187;0.7441934731829576;0.3389940122606267;19.0;10.0;19.0
12.0;24;PRODUKCJA METALI;0.4692187198310287;0.33218044426228716;0.7473937870724987;0.3322330102663215;25.0;9.0;25.0
13.0;62;DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE;0.4663485715253416;0.3298350422572387;0.7436649795008281;0.3296869539564103;28.0;11.0;28.0
14.0;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.46437386498431343;0.33653459627074905;0.7242752014988874;0.3361959756480393;22.0;15.0;22.0
15.0;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.46259432303896325;0.3386509027623989;0.7144898201325897;0.33840554259887357;20.0;16.0;20.0
16.0;14;PRODUKCJA ODZIEŻY;0.46180920501503187;0.3252351948480319;0.7392912408729155;0.3250455330209388;31.0;12.0;31.0
17.0;61;TELEKOMUNIKACJA;0.46053259257201795;0.43976447796905566;0.5031337055640756;0.4393417411943667;3.0;74.0;3.0
18.0;85;EDUKACJA;0.4585140358686334;0.32497614738943725;0.7296720815502458;0.3249415303486409;32.0;13.0;32.0
19.0;16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.4574584615097125;0.36189707155149603;0.651900110557709;0.36148644533433766;11.0;35.0;11.0
20.0;74;POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.4484966522093122;0.331347470975;0.6870408061106569;0.33067211991483947;26.0;21.0;27.0
21.0;81;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI;0.4442804849903008;0.31621131134720554;0.7044889025345655;0.31602768943916554;34.0;18.0;34.0
22.0;88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;0.4433842835348471;0.3311238341797743;0.6712042636059053;0.3312235625458023;27.0;26.0;26.0
23.0;50;TRANSPORT WODNY;0.43935510919811516;0.31412863906792393;0.6936608761099631;0.31407226232180113;35.0;19.0;35.0
24.0;43;ROBOTY BUDOWLANE SPECJALISTYCZNE;0.4343250650755116;0.3110708493042248;0.6849260648392492;0.31072377472989754;37.0;22.0;37.0
25.0;66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.43083770776110797;0.3214963280045005;0.6531932782523832;0.32114746381275383;33.0;34.0;33.0
26.0;95;NAPRAWA I KONSERWACJA KOMPUTERÓW, ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO ORAZ POJAZDÓW SILNIKOWYCH, W TYM MOTOCYKLI;0.428384925951986;0.2900470332497511;0.7098027084547308;0.28951326820443224;62.0;17.0;63.0
27.0;23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.4276418817625829;0.3053793000679131;0.6759302960591557;0.30532269129602985;43.0;24.0;42.0
28.0;12;PRODUKCJA WYROBÓW TYTONIOWYCH;0.4274007594391219;0.3372118538697467;0.6107122048700033;0.33701711780883636;21.0;52.0;21.0
29.0;28;PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA;0.42620374728796007;0.3014145012420268;0.6797462211658174;0.30123737909815135;48.0;23.0;47.0
30.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.4257491487710858;0.3421531621908568;0.5955356642020744;0.3420936354747602;16.0;61.0;16.0
31.0;71;"DZIAŁALNOŚĆ W ZAKRESIE ARCHITEKTURY I INŻYNIERII; BADANIA I ANALIZY TECHNICZNE";0.4247414522216447;0.3015495217213092;0.6753324572809711;0.30108940926732985;47.0;25.0;48.0
32.0;41;ROBOTY BUDOWLANE ZWIĄZANE ZE WZNOSZENIEM BUDYNKÓW MIESZKALNYCH I NIEMIESZKALNYCH;0.4242917886337919;0.30868802769723735;0.6592786879648523;0.308419919015595;39.0;31.0;39.0
33.0;17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.42383873703352165;0.307401294758534;0.6601575912178398;0.3074832490038772;41.0;30.0;41.0
34.0;32;POZOSTAŁA PRODUKCJA WYROBÓW;0.42333199593239607;0.3337999068855359;0.6056568766036325;0.3332684040616779;24.0;54.0;24.0
