alternative_id;nazwa;ensemble_score;ensemble_rank
B;GÓRNICTWO I WYDOBYWANIE;0.646910745374069;1.0
Q;EDUKACJA;0.6268547685435198;2.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.6149894707279489;3.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5522058700000784;4.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.4469337549626677;5.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.4270154808678239;6.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.42386076320233507;7.0
F;BUDOWNICTWO;0.4215850180027153;8.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.38606941784097554;9.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.37119753864720534;10.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.36857044213726436;11.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.358934498120709;12.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.34794529963123666;13.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.34765233669204865;14.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.3257097011048642;15.0
G;HANDEL HURTOWY I DETALICZNY;0.32149481126408685;16.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.3195763367077258;17.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.30885269652875635;18.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.2997143483488239;19.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.2970491552414201;20.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.29496061992407363;21.0
