alternative_id;nazwa;vikor_score;vikor_rank
Q;EDUKACJA;1.0;1.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.9162597466730803;2.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.8162410255144961;3.0
F;BUDOWNICTWO;0.6427541613574637;4.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.5608495805974071;5.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5355971128841552;6.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.5344238357032374;7.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.49825306504002287;8.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.46407070462396216;9.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.4060271464584626;10.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.4000465767340726;11.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.3729841794022314;12.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.37122810225931735;13.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.30385711851106634;14.0
B;GÓRNICTWO I WYDOBYWANIE;0.26881902685137615;15.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.24445429390289375;16.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.22823984075646586;17.0
G;HANDEL HURTOWY I DETALICZNY;0.21177351048978155;18.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.18905834675748134;19.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.1808686038181767;20.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.06922637501135609;21.0
