alternative_id;nazwa;topsis_score;topsis_rank
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.6129948436129253;1.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.5439809337297155;2.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.5250989431060711;3.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.5223094561931407;4.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.5165003786712504;5.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.46529977263708877;6.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.45583314089139443;7.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.45332549107510783;8.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.453155377643592;9.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.4501041551180831;10.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.43803168353373484;11.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.42096482975312055;12.0
F;BUDOWNICTWO;0.42036331709105634;13.0
B;GÓRNICTWO I WYDOBYWANIE;0.412355756745107;14.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.4078053398662954;15.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.39631814831456913;16.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3963156765769147;17.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.37703839839434505;18.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.3718746119511564;19.0
G;HANDEL HURTOWY I DETALICZNY;0.3586406328661997;20.0
Q;EDUKACJA;0.3425882310623867;21.0
