alternative_id;nazwa;ensemble_score;ensemble_rank
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.7412363308717841;1.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.7167280062367241;2.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.6455304452883686;3.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.5899991003701776;4.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.5394536315200738;5.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.5329336504983883;6.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.49408891913500763;7.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.4775226605522977;8.0
Q;EDUKACJA;0.4751010817159623;9.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.45993664456764227;10.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.45002665763948546;11.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.4331095939132304;12.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.4305787625782811;13.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.4233972189518404;14.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.3867315925905965;15.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3835742383402121;16.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.3674181606935021;17.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.318282089288329;18.0
B;GÓRNICTWO I WYDOBYWANIE;0.29097103859192613;19.0
G;HANDEL HURTOWY I DETALICZNY;0.2867519460251229;20.0
F;BUDOWNICTWO;0.2810952517897937;21.0
