ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;77;WYNAJEM I DZIERŻAWA;0.7269143581904824;0.6282804666983084;0.9282218924869304;0.6272605284098637;1.0;1.0;1.0
2.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.6709662728783676;0.6008962315837345;0.8142900539548428;0.5998670548548153;2.0;6.0;2.0
3.0;37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.6430205164845982;0.5309591802821225;0.8726304160471281;0.5289292638116043;6.0;2.0;6.0
4.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6373680883976552;0.5374223182220927;0.842957409985233;0.5348317002624637;5.0;4.0;5.0
5.0;61;TELEKOMUNIKACJA;0.6363595247073724;0.5430886949545813;0.8276245342319635;0.5412475266935663;3.0;5.0;3.0
6.0;36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.6257694332634646;0.516338142777557;0.8497431645597638;0.5145958877710255;9.0;3.0;9.0
7.0;96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.6077969734696373;0.5402087381499242;0.7472675263666828;0.538028841703403;4.0;9.0;4.0
8.0;63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.5922880993714906;0.5160562051598078;0.7487690243072864;0.5143993342569103;10.0;8.0;10.0
9.0;93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.5914895648559052;0.4991781974819179;0.7806469654002867;0.4974919444258169;12.0;7.0;12.0
10.0;55;ZAKWATEROWANIE;0.560918089910451;0.4849103008817194;0.7170164554648082;0.48318311857675555;16.0;10.0;16.0
11.0;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.5586266745058184;0.49543725321899634;0.6889629129268728;0.49345476375788694;13.0;13.0;13.0
12.0;35;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.5557812667441779;0.4782533931931993;0.7150667320714414;0.47642831002013675;22.0;11.0;22.0
13.0;39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.5470321170606395;0.48066676687571935;0.6835086324082622;0.47898304499095745;20.0;15.0;20.0
14.0;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.5438844384833031;0.471408543841184;0.6927996024535783;0.4696933829589164;24.0;12.0;24.0
15.0;17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.539515942628701;0.4676396888437098;0.6872727355583185;0.4658671840471517;28.0;14.0;28.0
16.0;56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.5349766499893114;0.47902424650044423;0.6506335649891136;0.4770281535228154;21.0;19.0;21.0
17.0;60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.5344164071517798;0.4823578087695733;0.6418023489409198;0.4807163385509325;17.0;22.0;17.0
18.0;91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.5256639908069535;0.4687210212993288;0.6432751604630245;0.4667801494864026;26.0;21.0;26.0
19.0;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.525286752803055;0.5032989532518098;0.571819662561394;0.5014635576020522;11.0;35.0;11.0
20.0;13;PRODUKCJA WYROBÓW TEKSTYLNYCH;0.521664786782621;0.45947147373680963;0.6498570634911586;0.4576069691099748;34.0;20.0;33.0
21.0;68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.5199683085621745;0.4522717770889763;0.6591045485299701;0.45062976796447685;41.0;17.0;41.0
22.0;12;PRODUKCJA WYROBÓW TYTONIOWYCH;0.5191190442415103;0.4857188936305778;0.5888358109617904;0.4838705639000848;15.0;30.0;15.0
23.0;32;POZOSTAŁA PRODUKCJA WYROBÓW;0.5187357586512458;0.45214948667534804;0.6557585220528779;0.4503709287380328;42.0;18.0;43.0
