alternative_id;nazwa;ensemble_score;ensemble_rank
Q;EDUKACJA;0.7332095932735131;1.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.6469571059285457;2.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.6209024490164228;3.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5760964991120989;4.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.5625684319850335;5.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.5613835998627025;6.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.5570621311573177;7.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.5492856601579353;8.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.5413636789835886;9.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5404919414078568;10.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.5356366775697881;11.0
B;GÓRNICTWO I WYDOBYWANIE;0.5226055258219499;12.0
F;BUDOWNICTWO;0.5222566900121717;13.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.5148198894910245;14.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.5094793314719631;15.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.5065251943276134;16.0
G;HANDEL HURTOWY I DETALICZNY;0.5023577859551143;17.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.4749036785154343;18.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.35609962042144133;19.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.35036958857430844;20.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3481491488095534;21.0
