alternative_id;nazwa;vikor_score;vikor_rank
B;GÓRNICTWO I WYDOBYWANIE;0.9967734355581764;1.0
Q;EDUKACJA;0.9745078143695254;2.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.6174098540422892;3.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.4707443695512551;4.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.4702079005227764;5.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.39469117543983745;6.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.3593738587920712;7.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.35624116498245406;8.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.3420227455355329;9.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.2692975255196186;10.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.25836556770349783;11.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.2549670616645483;12.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.23456904455282634;13.0
F;BUDOWNICTWO;0.20717966552977007;14.0
G;HANDEL HURTOWY I DETALICZNY;0.19698368695279167;15.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.17633329060866554;16.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.16275232453366306;17.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.12302878742682999;18.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.01137908759582218;19.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;1.963895326584364e-06;20.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.0;21.0
