ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;B;GÓRNICTWO I WYDOBYWANIE;0.7478579055235501;0.7086896739129639;0.8306896538108894;0.7054786099255251;1.0;2.0;1.0
2.0;Q;EDUKACJA;0.565330254740269;0.3456059219858546;1.0;0.35670676613216734;20.0;1.0;20.0
3.0;D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.5286290474226859;0.671631635095919;0.24155728400791165;0.6684608944659463;2.0;11.0;2.0
4.0;L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.5167879616929218;0.5267699459882048;0.4943645918972319;0.5288634240903755;6.0;3.0;6.0
5.0;S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.5152481592512561;0.5846322732599154;0.37280841427073697;0.5861550951945319;4.0;5.0;4.0
6.0;I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.46010088417560446;0.5995329407396401;0.17774066819211276;0.5988252742003706;3.0;13.0;3.0
7.0;T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.4539376687180062;0.4819993995418629;0.39580729898861555;0.4831219358910246;10.0;4.0;10.0
8.0;O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.4475444202623825;0.5297249783783156;0.2798814237985521;0.5305126692471063;5.0;8.0;5.0
9.0;N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.41986256453834336;0.4913064709617054;0.27429321177640964;0.49180785069048627;8.0;9.0;8.0
10.0;M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.3939776838923339;0.4332150707778506;0.31167914034509936;0.4357723359463541;13.0;6.0;13.0
11.0;E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.38332011813326694;0.4952256315438318;0.15554839664778453;0.49577849655892203;7.0;16.0;7.0
12.0;R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.38285424542466573;0.43038023502221195;0.2825472079060565;0.4340829095833445;14.0;7.0;14.0
13.0;H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.3748109381867774;0.47751889718558166;0.1654723611577723;0.47830536156903114;12.0;14.0;12.0
14.0;G;HANDEL HURTOWY I DETALICZNY;0.3660226393052367;0.4796547020479546;0.13469396278930312;0.4802575879674755;11.0;17.0;11.0
15.0;C;PRZETWÓRSTWO PRZEMYSŁOWE;0.3647542886401436;0.4886563821551545;0.11286957602175485;0.4889727130640103;9.0;18.0;9.0
16.0;J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.3473239017202504;0.42462689945742743;0.18778991014432145;0.42713633691668595;16.0;12.0;16.0
17.0;F;BUDOWNICTWO;0.34029051876970984;0.4262398846871297;0.1648580836917688;0.4271417329549214;15.0;15.0;15.0
18.0;P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.25620865720725194;0.37497654620019494;0.014636667498669542;0.37540087260772553;17.0;19.0;17.0
19.0;V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.2500000694243236;0.3716826762729067;0.0027647762939946308;0.3718600296389594;18.0;20.0;19.0
20.0;U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.24898717134991039;0.3713658796375655;0.0;0.37187185608680506;19.0;21.0;18.0
21.0;A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.18159502017567505;0.1363590907355372;0.26029582875632196;0.14911440218635733;21.0;10.0;21.0
