alternative_id;nazwa;ensemble_score;ensemble_rank
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.641597427559667;1.0
09;DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE;0.5245079678762977;2.0
92;DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI;0.5213149289474465;3.0
88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;0.4658086253077024;4.0
85;EDUKACJA;0.43669407773940605;5.0
90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.4316808377607232;6.0
66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.42676376412465167;7.0
05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.424987587337881;8.0
56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.4043465198271573;9.0
50;TRANSPORT WODNY;0.40413312663687984;10.0
82;DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ;0.4034407197880412;11.0
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.4017136874217537;12.0
79;DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE;0.3974492014602826;13.0
80;DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA;0.3958961966365959;14.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.3884066504895328;15.0
12;PRODUKCJA WYROBÓW TYTONIOWYCH;0.38821857846471175;16.0
77;WYNAJEM I DZIERŻAWA;0.3881093665792802;17.0
70;DZIAŁALNOŚĆ CENTRAL (HEAD OFFICES) ORAZ DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM;0.38741622739150794;18.0
02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.3839002543725216;19.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.38316046684921845;20.0
91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.3827245414822063;21.0
78;DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM;0.3817359277935616;22.0
53;DZIAŁALNOŚĆ POCZTOWA I KURIERSKA;0.38032147694845825;23.0
95;NAPRAWA I KONSERWACJA KOMPUTERÓW, ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO ORAZ POJAZDÓW SILNIKOWYCH, W TYM MOTOCYKLI;0.3722265454833892;24.0
35;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.37185545039121654;25.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.3708012375665225;26.0
19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.3693696306450429;27.0
61;TELEKOMUNIKACJA;0.3665899761903467;28.0
60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.3643479884263468;29.0
86;OPIEKA ZDROWOTNA;0.3643441660172315;30.0
55;ZAKWATEROWANIE;0.3608023828532981;31.0
47;HANDEL DETALICZNY;0.3604991467725178;32.0
96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.35509291906855145;33.0
36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.3548356316526228;34.0
29;PRODUKCJA POJAZDÓW SILNIKOWYCH, PRODUKCJA PRZYCZEP I NACZEP;0.35212781058187476;35.0
10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;0.3520647155877313;36.0
68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.35098523491296213;37.0
39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.34993162312216225;38.0
24;PRODUKCJA METALI;0.3495778775862938;39.0
81;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z UTRZYMANIEM PORZĄDKU W BUDYNKACH I ZAGOSPODAROWANIEM TERENÓW ZIELENI;0.34907808685864955;40.0
72;BADANIA NAUKOWE I PRACE ROZWOJOWE;0.34693600307402594;41.0
51;TRANSPORT LOTNICZY;0.3465594722244966;42.0
49;TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY;0.3463464550474571;43.0
52;MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT;0.3456552491115339;44.0
26;PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH;0.3435662358323044;45.0
11;PRODUKCJA NAPOJÓW;0.3426897590636439;46.0
46;HANDEL HURTOWY;0.3424834254154263;47.0
16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.3400124137047717;48.0
08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.3397012637077791;49.0
31;PRODUKCJA MEBLI;0.3391881357042846;50.0
03;RYBACTWO;0.3385564319783685;51.0
