ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6018944683684422;0.40463699529954805;1.0;0.4069537056458567;4.0;1.0;4.0
2.0;09;DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE;0.4968774022231989;0.32354476181100017;0.8438829309530379;0.3283125400325482;9.0;2.0;9.0
3.0;90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.3576740153571522;0.461384122629766;0.14893964044858632;0.45960933394498804;1.0;15.0;1.0
4.0;92;DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI;0.3547179667890352;0.40379326557334266;0.2546840957885196;0.4041777574694725;5.0;6.0;5.0
5.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.34750172826912995;0.4075690840685935;0.22509647198684957;0.4080061610906873;3.0;8.0;3.0
6.0;05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.3474437285085056;0.4289788091548902;0.1828611041687347;0.4280486973873806;2.0;12.0;2.0
7.0;79;DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE;0.30573170244673453;0.36526374418874835;0.18396716420110515;0.36613383140612604;6.0;11.0;6.0
8.0;85;EDUKACJA;0.3031943557053632;0.3210633073066719;0.2651181618392511;0.32280726731531945;10.0;4.0;10.0
9.0;77;WYNAJEM I DZIERŻAWA;0.2789417326812282;0.3454779572003872;0.14243761782731412;0.3468517438884904;7.0;16.0;7.0
10.0;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.26339763060823845;0.29190488331450193;0.2031765046701126;0.294178742862693;15.0;9.0;14.0
11.0;55;ZAKWATEROWANIE;0.2616603966448502;0.29407585646492035;0.19502253344838083;0.2948762587454728;12.0;10.0;12.0
12.0;03;RYBACTWO;0.2591163989702584;0.3295080797173379;0.11510548358437045;0.33057036200204293;8.0;23.0;8.0
13.0;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.23931846498381798;0.23106539530416648;0.2541267766307713;0.23295602425084858;48.0;7.0;48.0
14.0;66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.23885189899814538;0.27992057814400273;0.15309477087565215;0.2822259818284096;18.0;14.0;18.0
15.0;02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.2372686481736191;0.2919285762262747;0.12422038529360724;0.29393967903546475;14.0;21.0;15.0
16.0;93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.23649113215539042;0.21849064811613117;0.2673835584161752;0.22397836470508617;70.0;3.0;69.0
17.0;96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.2332750946031652;0.31290863268681685;0.07133881602244152;0.313157166262088;11.0;47.0;11.0
18.0;24;PRODUKCJA METALI;0.23196191420618414;0.2927222380866948;0.10693583117729932;0.29433750396784136;13.0;29.0;13.0
19.0;60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.23072450321932328;0.2811083655972967;0.12675701216196755;0.28273214281990017;17.0;18.0;17.0
20.0;91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.22701158831037527;0.2099437525472253;0.2562388034626639;0.21520983772679947;78.0;5.0;75.0
21.0;70;DZIAŁALNOŚĆ CENTRAL (HEAD OFFICES) ORAZ DORADZTWO ZWIĄZANE Z ZARZĄDZANIEM;0.22402524218130268;0.27304398766483545;0.12237830538157768;0.2751055455176068;20.0;22.0;20.0
22.0;56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.22045716307283936;0.2713906522842729;0.1150501531421606;0.27332852141798913;21.0;24.0;21.0
23.0;52;MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT;0.21214761653296738;0.2623202179910931;0.10781120111457809;0.2647183771414584;27.0;28.0;26.0
24.0;53;DZIAŁALNOŚĆ POCZTOWA I KURIERSKA;0.20838469086621567;0.2673898482858169;0.0867574377267103;0.2691649602414167;23.0;37.0;23.0
25.0;59;DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH;0.20774177443202846;0.2637318496119434;0.09248359133116879;0.2652667027082395;25.0;35.0;25.0
26.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.20621463217041563;0.28822537893425854;0.03868300557148352;0.2892201920103552;16.0;79.0;16.0
27.0;72;BADANIA NAUKOWE I PRACE ROZWOJOWE;0.2038443484101265;0.22105924893183757;0.16504503485159994;0.22479392576938864;68.0;13.0;66.0
28.0;68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.2018274683015428;0.24553928121752258;0.11026432607129011;0.24827140557716063;34.0;26.0;34.0
29.0;37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.20167180021411532;0.23801707388954726;0.12478726680534724;0.2410187287788239;38.0;20.0;37.0
30.0;61;TELEKOMUNIKACJA;0.19824399807142398;0.26291809967085583;0.06531384488153558;0.2644925187327494;26.0;53.0;27.0
31.0;86;OPIEKA ZDROWOTNA;0.19763117640045252;0.2589868986596318;0.070890276166506;0.2610932609053736;28.0;48.0;28.0
32.0;16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.1951328685716006;0.27581342077917015;0.029980739076449603;0.27711998770366486;19.0;82.0;19.0
33.0;35;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.19492423115014224;0.2541225605116727;0.0728260293701608;0.2559741073209917;30.0;45.0;30.0
34.0;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.19369457577265412;0.2650099996814907;0.047390002192652214;0.26647816221819687;24.0;71.0;24.0
35.0;95;NAPRAWA I KONSERWACJA KOMPUTERÓW, ARTYKUŁÓW UŻYTKU OSOBISTEGO I DOMOWEGO ORAZ POJAZDÓW SILNIKOWYCH, W TYM MOTOCYKLI;0.19211603813120598;0.22168821870011662;0.1294097800231483;0.22427558397802522;67.0;17.0;68.0
36.0;80;DZIAŁALNOŚĆ DETEKTYWISTYCZNA I OCHRONIARSKA;0.1919832266094541;0.22325502645622883;0.12520376145937862;0.22644654881559897;65.0;19.0;61.0
37.0;30;PRODUKCJA POZOSTAŁEGO SPRZĘTU TRANSPORTOWEGO;0.1902950294353312;0.23625270572773566;0.09464995195184467;0.2385210364737343;40.0;34.0;40.0
38.0;36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.18995388372679523;0.22689154206316;0.11172629933783695;0.23002940018960655;54.0;25.0;53.0
39.0;82;DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ;0.1886341329700539;0.22659587346845927;0.10889719567043477;0.22918064751240846;56.0;27.0;55.0
40.0;88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;0.18694896733596633;0.2251634009594621;0.10610221444881862;0.2283273948565696;59.0;30.0;57.0
41.0;38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.18629678168132813;0.2686233207149707;0.017790557729822964;0.2699417699839594;22.0;85.0;22.0
42.0;50;TRANSPORT WODNY;0.18327730341745552;0.25268929200300444;0.04037333496361206;0.2546077544660943;31.0;78.0;31.0
43.0;22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;0.18297151729482472;0.2222785178410539;0.10107487856997432;0.22430851905642762;66.0;31.0;67.0
44.0;49;TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY;0.18275469989039522;0.2298346042215633;0.0845933501561309;0.2323337498404593;49.0;39.0;49.0
45.0;74;POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.18128674493425517;0.24494841741634044;0.050070283490375234;0.24685462833834998;35.0;68.0;35.0
46.0;26;PRODUKCJA KOMPUTERÓW, WYROBÓW ELEKTRONICZNYCH I OPTYCZNYCH;0.18048458615290025;0.2184848671474121;0.10079698553261385;0.22094580814262255;71.0;32.0;72.0
47.0;78;DZIAŁALNOŚĆ ZWIĄZANA Z ZATRUDNIENIEM;0.18037195866297998;0.23323710035269146;0.07057600884499071;0.23562833125807311;45.0;50.0;45.0
48.0;39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.18030076930066347;0.25140744185099534;0.03419874634906106;0.2530903741018966;32.0;81.0;32.0
49.0;29;PRODUKCJA POJAZDÓW SILNIKOWYCH, PRODUKCJA PRZYCZEP I NACZEP;0.17958875710535732;0.24113135642637648;0.052370837116253455;0.2433324506949689;36.0;66.0;36.0
50.0;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.17907706943863513;0.21846076978311205;0.09630120121531816;0.22119299708574455;72.0;33.0;71.0
