ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.63334657453885;0.5629280662523514;0.7738729239094473;0.5653007287807544;1.0;3.0;1.0
2.0;Q;EDUKACJA;0.5876829717134912;0.3801977353131992;1.0;0.3888756442945158;10.0;1.0;10.0
3.0;L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.5719686961950313;0.4238794678251995;0.8653522305744301;0.4309477521269222;4.0;2.0;4.0
4.0;I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.4678065458546474;0.4360277056498889;0.5262924828652753;0.4418849518960094;3.0;5.0;3.0
5.0;N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.457486027668631;0.4638350175800263;0.4442995890992667;0.46412237489548314;2.0;7.0;2.0
6.0;T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.4288814448881094;0.365575683454304;0.5481475197189452;0.37456702306158;12.0;4.0;12.0
7.0;O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.4161943486075723;0.371770763814406;0.4976081996201436;0.3802920313946205;11.0;6.0;11.0
8.0;E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.4002988329077608;0.38814234698870753;0.41852458997850195;0.3944080697311226;6.0;8.0;7.0
9.0;H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.3990334157045855;0.3862481450944601;0.4165160025456033;0.3944742558334252;9.0;9.0;6.0
10.0;M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.396184413081358;0.3881347821502432;0.4062024650534507;0.39427388677687925;7.0;10.0;8.0
11.0;D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.3752512597851242;0.38704159588967263;0.345301587276163;0.39287649805999536;8.0;13.0;9.0
12.0;J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.3742982937272277;0.3581117486033133;0.39863028895648145;0.36639241568381004;14.0;11.0;14.0
13.0;R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.3732776467630029;0.3898828876358479;0.33199212047189064;0.3972320414336741;5.0;14.0;5.0
14.0;G;HANDEL HURTOWY I DETALICZNY;0.3342309195899062;0.36105256947306685;0.27256003946692486;0.3680551724697321;13.0;15.0;13.0
15.0;B;GÓRNICTWO I WYDOBYWANIE;0.32601509129293904;0.30916523032569815;0.34973288581760253;0.3193491557813229;20.0;12.0;20.0
16.0;A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.3181895353088914;0.34309370552220203;0.26061047964169726;0.3499033947200135;16.0;16.0;16.0
17.0;C;PRZETWÓRSTWO PRZEMYSŁOWE;0.3160271002634633;0.34383323909886726;0.2520658396540796;0.3511188361029143;15.0;18.0;15.0
18.0;F;BUDOWNICTWO;0.29485189620297064;0.3079730475867185;0.2590935588328751;0.31682328260148457;21.0;17.0;21.0
19.0;P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.28666066216982816;0.32670129337338155;0.20063490698193132;0.3312932825075733;18.0;20.0;17.0
20.0;V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.2865575105406701;0.32670129337338155;0.20063490698193132;0.3309898953629907;18.0;20.0;18.0
21.0;U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.28651802143063965;0.32670129337338155;0.20063490698193132;0.3308737509217248;18.0;20.0;19.0
