alternative_id;nazwa;vikor_score;vikor_rank
Q;EDUKACJA;1.0;1.0
B;GÓRNICTWO I WYDOBYWANIE;0.502001824740582;2.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.4919965182383731;3.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.32302272616138517;4.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.3012376777100243;5.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.2731238297768259;6.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.24883978715337418;7.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.2416935732569523;8.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.23489183262902358;9.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.23046322450411583;10.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.22389616907260668;11.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.2150567129046691;12.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.20370770403206384;13.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.16474112997695367;14.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.1263664351455973;15.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.1250900053440791;16.0
G;HANDEL HURTOWY I DETALICZNY;0.09148902098939038;17.0
F;BUDOWNICTWO;0.06858073243440166;18.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.005152590026211823;19.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.0039172062138318475;20.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.0;21.0
