ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6197846630152244;0.4332672632259684;0.9994813355980093;0.4322871335391519;5.0;1.0;5.0
2.0;09;DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE;0.5434905157575913;0.3721881403595967;0.8906312470681564;0.3728238761953904;10.0;2.0;8.0
3.0;05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.37544322602105284;0.5357107550342664;0.05386981790315437;0.5320048145638353;1.0;71.0;1.0
4.0;92;DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI;0.3716628301913789;0.4302347617961901;0.25189520498369433;0.4310586504529912;6.0;4.0;6.0
5.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.371541583470458;0.4285125669249268;0.25600026844608825;0.42838925822947954;7.0;3.0;7.0
6.0;93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.3548682526435427;0.4556923385596901;0.1553732099215075;0.4506371224845514;3.0;14.0;3.0
7.0;55;ZAKWATEROWANIE;0.34385588722795196;0.4664056347229283;0.09995636916533734;0.461636546896542;2.0;33.0;2.0
8.0;91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.3241652386577081;0.3723434448893995;0.23013058081550342;0.3686729711032061;9.0;6.0;10.0
9.0;90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.3190289473329494;0.44279394276117157;0.07103626680239183;0.4396028769910984;4.0;57.0;4.0
10.0;77;WYNAJEM I DZIERŻAWA;0.2954140998164234;0.3547790841980835;0.17431461062726794;0.3553328838942866;15.0;12.0;15.0
11.0;85;EDUKACJA;0.2864555985929436;0.31074843417769243;0.23913088263546345;0.3088100707194181;37.0;5.0;38.0
12.0;51;TRANSPORT LOTNICZY;0.28174151628091765;0.3755998829030048;0.09461723791548449;0.3722643129729888;8.0;37.0;9.0
13.0;02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.2803895357791936;0.3629768453932622;0.11556242189541521;0.36021052227626493;11.0;26.0;11.0
14.0;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.2798250241588638;0.35857125071868823;0.12202865896448412;0.3565501587159321;14.0;25.0;14.0
