alternative_id;nazwa;ensemble_score;ensemble_rank
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6197846630152244;1.0
09;DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE;0.5434905157575913;2.0
05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.37544322602105284;3.0
92;DZIAŁALNOŚĆ ZWIĄZANA Z GRAMI HAZARDOWYMI;0.3716628301913789;4.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.371541583470458;5.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.3548682526435427;6.0
55;ZAKWATEROWANIE;0.34385588722795196;7.0
91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.3241652386577081;8.0
90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.3190289473329494;9.0
77;WYNAJEM I DZIERŻAWA;0.2954140998164234;10.0
85;EDUKACJA;0.2864555985929436;11.0
51;TRANSPORT LOTNICZY;0.28174151628091765;12.0
02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.2803895357791936;13.0
19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.2798250241588638;14.0
82;DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ;0.2742584196677854;15.0
66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.27321328080804236;16.0
43;ROBOTY BUDOWLANE SPECJALISTYCZNE;0.27177449057544995;17.0
18;POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI;0.265719893157156;18.0
56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.26281850160447284;19.0
96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.26176000759520335;20.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.2600642557173259;21.0
52;MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT;0.25700024859628373;22.0
