alternative_id;nazwa;ensemble_score;ensemble_rank
Q;EDUKACJA;0.5818650949098193;1.0
B;GÓRNICTWO I WYDOBYWANIE;0.4760355132912365;2.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.4610528792517873;3.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.42535405622431927;4.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.40939603142791203;5.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.36614457042369397;6.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.3557394322920241;7.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.32963896187557035;8.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.30166576242466864;9.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.29259966845524393;10.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.2839440282503686;11.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.28251266774868217;12.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.2750272576836661;13.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.2745465523452476;14.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.24263471326319042;15.0
G;HANDEL HURTOWY I DETALICZNY;0.23082405263251013;16.0
F;BUDOWNICTWO;0.2263834496324979;17.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.2242304872642354;18.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.20129052268674616;19.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.19273216641718283;20.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.14710876240528603;21.0
