ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;77;WYNAJEM I DZIERŻAWA;0.6798393179754343;0.5251825457857435;0.9910985157413031;0.5278428460926731;2.0;1.0;2.0
2.0;90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.6730734287509573;0.6953107537446945;0.6366887298370515;0.6868047034381795;1.0;19.0;1.0
3.0;37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.6536914094747716;0.5145792330505443;0.9341168525520178;0.5165344153703707;3.0;2.0;3.0
4.0;36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.6244057952303012;0.4885376820048143;0.8983384163890535;0.4904020081186021;4.0;3.0;4.0
5.0;60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.6095199571132113;0.4728579986002996;0.8850439550372636;0.4747420953318098;6.0;4.0;6.0
6.0;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.5843441078427531;0.463752733887565;0.8284711287319731;0.46444186228913376;7.0;6.0;7.0
7.0;55;ZAKWATEROWANIE;0.583757426191398;0.45734591074319314;0.8399041747007394;0.4578379352791184;8.0;5.0;8.0
8.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.5705247299949779;0.48448485545727227;0.743646271007937;0.4860042890042908;5.0;9.0;5.0
9.0;91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.5665321881828391;0.4543248184615157;0.7942512019330117;0.4544179454489562;9.0;8.0;9.0
10.0;93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.5622327215377378;0.4389668768777253;0.811468664639994;0.43996762599085404;11.0;7.0;11.0
11.0;63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.5275247916277199;0.4308331129668772;0.7235882594874898;0.4310757021111142;13.0;11.0;13.0
12.0;56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.5265494266604167;0.42888163894315273;0.7246351081919242;0.42908500031129804;14.0;10.0;14.0
13.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.5201523101134564;0.43572906650565824;0.6919135101376019;0.43538311712111943;12.0;12.0;12.0
14.0;86;OPIEKA ZDROWOTNA;0.5087504863927099;0.41902688206738403;0.6906470611869805;0.4192884856434398;17.0;13.0;17.0
15.0;38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.5017778267104046;0.41377956729779514;0.680516688437737;0.41370606564023216;19.0;15.0;19.0
16.0;09;DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA GÓRNICTWO I WYDOBYWANIE;0.4937449077227114;0.42534881149632453;0.6321266649162474;0.4258176485487136;15.0;20.0;15.0
17.0;23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.4914558873030027;0.40238758353270543;0.6721121051704888;0.40256173538514284;22.0;16.0;22.0
18.0;17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.4865762787083129;0.4058575156587312;0.6503207442344638;0.405992508657525;20.0;17.0;20.0
19.0;68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.4844941435303182;0.4031042645499394;0.649579490180301;0.40326030726276135;21.0;18.0;21.0
20.0;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.4725494584135562;0.4158223069927387;0.5880842405884414;0.4154714638581373;18.0;26.0;18.0
21.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4710566975881342;0.44232551493405703;0.5316538068420904;0.4401280041235456;10.0;34.0;10.0
22.0;61;TELEKOMUNIKACJA;0.4634076008059995;0.4237413378436879;0.543001312223996;0.42465448906959946;16.0;32.0;16.0
23.0;03;RYBACTWO;0.46234139292400434;0.3976455342706709;0.5936413955720384;0.39769619434091236;24.0;24.0;23.0
24.0;32;POZOSTAŁA PRODUKCJA WYROBÓW;0.4588626656166291;0.38382289966760147;0.6111460301231268;0.38389093760496684;31.0;21.0;31.0
25.0;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.4583399252961722;0.38531228755740893;0.6066034273033447;0.3853168805650691;29.0;22.0;28.0
26.0;85;EDUKACJA;0.4572459861774959;0.3850729940670364;0.6037708224343049;0.38508096097662714;30.0;23.0;30.0
27.0;11;PRODUKCJA NAPOJÓW;0.45358025630817805;0.38589429726338165;0.5916369186747068;0.38527927955473196;28.0;25.0;29.0
28.0;24;PRODUKCJA METALI;0.4512609099089484;0.3875819486052102;0.581047806303713;0.3870973258500109;27.0;28.0;27.0
29.0;31;PRODUKCJA MEBLI;0.44816210063895756;0.3824850145707183;0.5818305033188628;0.3821705286335169;32.0;27.0;32.0
30.0;16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.4399307119876251;0.3763824535193383;0.5692637049667619;0.37608082260944714;35.0;29.0;35.0
31.0;52;MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT;0.4397808706309463;0.3910802321196978;0.5387492388755905;0.3909916035367679;25.0;33.0;25.0
32.0;10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;0.43565772966222516;0.380033060060291;0.5494171228192268;0.37923285091760073;34.0;30.0;34.0
33.0;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.43491391659556417;0.38121781244147274;0.5444806713124672;0.3806865204610705;33.0;31.0;33.0
34.0;96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.42582296915535595;0.29836371287695806;0.6868347722213363;0.29619843844976124;86.0;14.0;86.0
35.0;22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;0.40982580248200606;0.3656938395373035;0.49996001202722395;0.36517656313444685;43.0;36.0;43.0
36.0;25;PRODUKCJA METALOWYCH WYROBÓW GOTOWYCH, Z WYŁĄCZENIEM MASZYN I URZĄDZEŃ;0.4085752784072383;0.36968349517170657;0.4882219579855587;0.36901905548629627;40.0;38.0;39.0
37.0;58;DZIAŁALNOŚĆ WYDAWNICZA;0.4056825140260739;0.36229552688831673;0.4940066170106814;0.36206707805707217;45.0;37.0;45.0
