ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.7562418231777253;0.6364877313741273;1.0;0.6358849171301856;1.0;1.0;1.0
2.0;Q;EDUKACJA;0.74030179750883;0.621862855194621;0.9806764659511096;0.621952416266879;3.0;2.0;3.0
3.0;N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.7304535733226745;0.6341420794915091;0.9276382067395754;0.6325472907835779;2.0;4.0;2.0
4.0;A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.7045366014287264;0.5830826951047172;0.9519254061291736;0.5823056706515952;5.0;3.0;5.0
5.0;J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.6895341293386031;0.5954964569980499;0.8815118028207047;0.5944747164659236;4.0;5.0;4.0
6.0;H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.6253664014668111;0.5407322532547084;0.7978779621601936;0.5400736187643924;8.0;6.0;8.0
7.0;M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.6032560713206532;0.5510841056172522;0.7107576700956424;0.5495537803982292;7.0;8.0;7.0
8.0;F;BUDOWNICTWO;0.5897224508836154;0.521213324369258;0.7296544899853558;0.5204002121958614;11.0;7.0;11.0
9.0;D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.5883760210649769;0.5808804595320822;0.6052231316028771;0.579299517618942;6.0;13.0;6.0
10.0;R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.5744946412158113;0.5358026021488057;0.6536621786471697;0.5352095986857041;10.0;9.0;10.0
11.0;V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.5545598302881247;0.5173433611712535;0.6310601386413326;0.5164313980881509;13.0;11.0;12.0
12.0;P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.5545357515442999;0.5173433611712535;0.6310601386413326;0.5163605782533719;13.0;11.0;13.0
13.0;U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.5545052985763306;0.5173433611712535;0.6310601386413326;0.5162710107005211;13.0;11.0;14.0
14.0;C;PRZETWÓRSTWO PRZEMYSŁOWE;0.5323089531545442;0.5116478283762996;0.5752158157475887;0.5107175017460619;16.0;14.0;16.0
15.0;G;HANDEL HURTOWY I DETALICZNY;0.5066496008296143;0.5125473937701461;0.4960742577647569;0.511189575950283;15.0;16.0;15.0
16.0;L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.4991724117337334;0.5374694960856187;0.4228738928551591;0.5360561570096375;9.0;17.0;9.0
17.0;T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.4704425629798614;0.4322661159704465;0.5489585084842822;0.4312895203229439;17.0;15.0;17.0
18.0;S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.30765880182615796;0.3657683440150233;0.19025783915849137;0.36520635699675913;18.0;18.0;18.0
19.0;O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.2674195634047356;0.33784014078657176;0.12387242700262169;0.33839534127735815;19.0;20.0;19.0
20.0;B;GÓRNICTWO I WYDOBYWANIE;0.1820467154354574;0.25180538034141686;0.04136964534916354;0.2508792851693113;20.0;21.0;20.0
21.0;I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.16501868653880045;0.16100545929471125;0.17276889434368914;0.16139161717096562;21.0;19.0;21.0
