alternative_id;nazwa;vikor_score;vikor_rank
77;WYNAJEM I DZIERŻAWA;1.0;1.0
37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.8521495960971294;2.0
36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.8306292424394187;3.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.8089840100039687;4.0
61;TELEKOMUNIKACJA;0.7896350575784221;5.0
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.7551490931881308;6.0
55;ZAKWATEROWANIE;0.7331004715604383;7.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.7290791576697957;8.0
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.6889903909732569;9.0
03;RYBACTWO;0.6833331384551408;10.0
63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.6681040212070615;11.0
60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.647774434728782;12.0
68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.6024773846374453;13.0
39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.5994310255348005;14.0
