kpi_id;cat_id;value;direction
A;Marża netto (NP/PNPM);0.0887566010379657;max
B;Marża netto (NP/PNPM);-0.0270679101021937;max
C;Marża netto (NP/PNPM);0.0428547945267434;max
D;Marża netto (NP/PNPM);0.0155034482225607;max
E;Marża netto (NP/PNPM);0.0599677275585709;max
F;Marża netto (NP/PNPM);0.0684669477693984;max
G;Marża netto (NP/PNPM);0.0293201360729017;max
H;Marża netto (NP/PNPM);0.0363542850338482;max
I;Marża netto (NP/PNPM);0.0852235555649372;max
J;Marża netto (NP/PNPM);0.0734998271780719;max
L;Marża netto (NP/PNPM);0.1408664301061;max
M;Marża netto (NP/PNPM);0.0581829597286156;max
N;Marża netto (NP/PNPM);0.079777019700081;max
O;Marża netto (NP/PNPM);0.0664215809915284;max
P;Marża netto (NP/PNPM);0.0439618887844431;max
Q;Marża netto (NP/PNPM);0.0978932585132324;max
R;Marża netto (NP/PNPM);0.0480439240768127;max
S;Marża netto (NP/PNPM);0.0117735957578754;max
T;Marża netto (NP/PNPM);0.0720064306260068;max
U;Marża netto (NP/PNPM);0.0439618887844431;max
V;Marża netto (NP/PNPM);0.0439618887844431;max
A;Marża operacyjna (OP/PNPM);0.0890390899106187;max
B;Marża operacyjna (OP/PNPM);-0.0209442953939823;max
C;Marża operacyjna (OP/PNPM);0.0538925069600511;max
D;Marża operacyjna (OP/PNPM);0.0357349472076267;max
E;Marża operacyjna (OP/PNPM);0.0768247676297116;max
F;Marża operacyjna (OP/PNPM);0.0778901503813352;max
G;Marża operacyjna (OP/PNPM);0.036107979910328;max
H;Marża operacyjna (OP/PNPM);0.0505621242915089;max
I;Marża operacyjna (OP/PNPM);0.0966438104407481;max
J;Marża operacyjna (OP/PNPM);0.1035580971869232;max
L;Marża operacyjna (OP/PNPM);0.2571529070944598;max
M;Marża operacyjna (OP/PNPM);0.0631190632027437;max
N;Marża operacyjna (OP/PNPM);0.057877430363177;max
O;Marża operacyjna (OP/PNPM);0.0881972053622857;max
P;Marża operacyjna (OP/PNPM);0.0568448599449907;max
Q;Marża operacyjna (OP/PNPM);0.1250405090458677;max
R;Marża operacyjna (OP/PNPM);0.0643095926257936;max
S;Marża operacyjna (OP/PNPM);0.0165857159511762;max
T;Marża operacyjna (OP/PNPM);0.0887380729172739;max
U;Marża operacyjna (OP/PNPM);0.0568448599449907;max
V;Marża operacyjna (OP/PNPM);0.0568448599449907;max
A;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);2.547202572890204;max
