alternative_id;nazwa;ensemble_score;year
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6239694740026837;2013
90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.5446739734427827;2013
63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.5382932712912103;2013
37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.505758601700006;2013
75;DZIAŁALNOŚĆ WETERYNARYJNA;0.4781382690154901;2013
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.4673284935048999;2013
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.4596792117389582;2013
02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.4457030662260666;2013
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.435563793292273;2013
21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.4334199803458214;2013
69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4293632446310539;2013
03;RYBACTWO;0.4276444599264228;2013
72;BADANIA NAUKOWE I PRACE ROZWOJOWE;0.4251835931061259;2013
74;POZOSTAŁA DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.4018085755979675;2013
88;POMOC SPOŁECZNA BEZ ZAKWATEROWANIA;0.400321708897195;2013
58;DZIAŁALNOŚĆ WYDAWNICZA;0.3759421678698719;2013
51;TRANSPORT LOTNICZY;0.3758874727668853;2013
62;DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE;0.3743672267904799;2013
50;TRANSPORT WODNY;0.3729052745334323;2013
77;WYNAJEM I DZIERŻAWA;0.3576593199949723;2013
66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.3506584050433125;2013
15;PRODUKCJA SKÓR I WYROBÓW ZE SKÓR WYPRAWIONYCH, PRODUKCJA PODOBNYCH WYROBÓW Z INNYCH MATERIAŁÓW;0.3433814837034061;2013
68;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.3375115859450565;2013
36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.330417361464267;2013
17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.3255443512576427;2013
79;DZIAŁALNOŚĆ ORGANIZATORÓW TURYSTYKI, AGENTÓW TURYSTYCZNYCH ORAZ POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE REZERWACJI I DZIAŁALNOŚCI Z NIĄ ZWIĄZANE;0.325512791135461;2013
32;POZOSTAŁA PRODUKCJA WYROBÓW;0.3224402554575253;2013
73;DZIAŁALNOŚĆ W ZAKRESIE REKLAMY, BADANIA RYNKU I PUBLIC RELATIONS;0.321847954006329;2013
35;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.3194604338919355;2013
