ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.6406598860342024;0.4643980421643545;1.0;0.46296627094107484;3.0;1.0;3.0
2.0;E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5829643712501442;0.4672952451666272;0.8191749641942034;0.465968241650206;2.0;2.0;2.0
3.0;J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.44928360242991183;0.41905648298353587;0.512245260838248;0.41751184402565644;4.0;5.0;4.0
4.0;H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.4268110253759201;0.36713462108885975;0.54892272795998;0.3662120593817734;9.0;4.0;9.0
5.0;T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.4258120964222474;0.3632815448875299;0.5538489164607243;0.36223248287448084;10.0;3.0;10.0
6.0;D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.3990735145842558;0.4030858662566266;0.39093829737074404;0.4030751193741866;6.0;12.0;5.0
7.0;B;GÓRNICTWO I WYDOBYWANIE;0.39705192862843397;0.4770265525039011;0.23474836000843635;0.4769594338216547;1.0;19.0;1.0
8.0;C;PRZETWÓRSTWO PRZEMYSŁOWE;0.39577562337931915;0.36800543178185946;0.45298991441881364;0.3671975268620499;8.0;8.0;8.0
9.0;N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.3940439569875262;0.3514332275111638;0.4812007297491492;0.35080809144594965;12.0;6.0;12.0
10.0;F;BUDOWNICTWO;0.3778057341680301;0.33024295374749046;0.47567038304241105;0.3289833324334193;16.0;7.0;16.0
11.0;P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.37236228047237974;0.3528441350068685;0.41289234190563584;0.3519683620330979;11.0;9.0;11.0
12.0;I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.36893296422924143;0.4032017307431971;0.3001479988960781;0.40243398073023706;5.0;15.0;6.0
13.0;V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.3628865635038799;0.3465167271009142;0.3968467795433789;0.3458135479743034;13.0;10.0;13.0
14.0;L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.3628815490300049;0.4009829728188009;0.2869176134688921;0.39963045751490056;7.0;16.0;7.0
15.0;U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3622630614878391;0.3462488059302278;0.3952811465970657;0.34575934457009483;14.0;11.0;14.0
16.0;M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.33014952775464357;0.31763522840509223;0.3567253036608733;0.3165016240378675;18.0;13.0;18.0
17.0;S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.3199874720561037;0.3426848842446224;0.27384539991739043;0.34274258318423345;15.0;17.0;15.0
18.0;R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.3020543671033773;0.2978414882538875;0.3108886305664367;0.2975689055666774;19.0;14.0;19.0
19.0;G;HANDEL HURTOWY I DETALICZNY;0.29321072693068145;0.3190054703332156;0.2414191090084702;0.31844298749389743;17.0;18.0;17.0
20.0;O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.21767617283335988;0.2746737194744233;0.10283415718437239;0.2738193339292861;20.0;21.0;20.0
21.0;Q;EDUKACJA;0.2063605159772935;0.25341765784099257;0.11146766270076947;0.2527892947015059;21.0;20.0;21.0
