alternative_id;nazwa;vikor_score;vikor_rank
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;1.0;1.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.6256978964343625;2.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5625976602233507;3.0
F;BUDOWNICTWO;0.5065795113119174;4.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.5053599777509532;5.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.4474179748431941;6.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.43856139700110575;7.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.42986568285639104;8.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.42815303196903487;9.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.40978789739254773;10.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.4022922789724557;11.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.36813972288162045;12.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.3450220530205377;13.0
B;GÓRNICTWO I WYDOBYWANIE;0.2887522392077986;14.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.2738893078258894;15.0
G;HANDEL HURTOWY I DETALICZNY;0.22963657989687536;16.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.2278620513680194;17.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.19981691717404093;18.0
Q;EDUKACJA;0.19617028065569686;19.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.15187146245468508;20.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.08292032341456967;21.0
