ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6528426003867609;0.5830279523695192;0.7969337174097566;0.5807507334105879;1.0;2.0;1.0
2.0;03;RYBACTWO;0.5672817712484557;0.468125692320538;0.7700351702214476;0.4667314312047072;2.0;3.0;2.0
3.0;58;DZIAŁALNOŚĆ WYDAWNICZA;0.5577597817999158;0.41699662115355246;0.8445511930755141;0.41602647971859935;4.0;1.0;4.0
4.0;02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.5205272646937533;0.4060150076434332;0.7544890955803666;0.40459091361735106;5.0;4.0;5.0
5.0;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.4743541382622265;0.3644887362896194;0.6979598681997511;0.36395911406098297;6.0;6.0;6.0
6.0;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.47433683357935486;0.3532502392389102;0.7202667596992325;0.3531653644993168;8.0;5.0;8.0
7.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.4661726241413705;0.42536145749641463;0.5498391482310244;0.4245777183862221;3.0;46.0;3.0
8.0;90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.4515190257349056;0.3551418357624572;0.6477483490482034;0.35460371984525746;7.0;12.0;7.0
9.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4510462257944424;0.33335416330613815;0.6897866774559598;0.3335580833616179;13.0;7.0;12.0
10.0;85;EDUKACJA;0.4433861953448805;0.35026556941024056;0.6325687424697741;0.3501496247778695;9.0;15.0;9.0
11.0;19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.4364034944476004;0.3263321341912441;0.6605197441090057;0.325712866495641;15.0;10.0;15.0
12.0;14;PRODUKCJA ODZIEŻY;0.4249099620126057;0.297939423660372;0.6830910514680875;0.2975585447653355;22.0;8.0;22.0
