kpi_id;cat_id;value;direction
A;Net Profit Margin (NP/PNPM);0.0888528271232163;max
B;Net Profit Margin (NP/PNPM);-0.005431089507999;max
C;Net Profit Margin (NP/PNPM);0.0442520226740886;max
D;Net Profit Margin (NP/PNPM);0.0155344909731065;max
E;Net Profit Margin (NP/PNPM);0.0596950750999467;max
F;Net Profit Margin (NP/PNPM);0.0692436337273011;max
G;Net Profit Margin (NP/PNPM);0.0298822175218849;max
H;Net Profit Margin (NP/PNPM);0.0379158638128211;max
I;Net Profit Margin (NP/PNPM);0.0854016788408969;max
J;Net Profit Margin (NP/PNPM);0.072543868841936;max
L;Net Profit Margin (NP/PNPM);0.1372244076796748;max
M;Net Profit Margin (NP/PNPM);0.0583044316491058;max
N;Net Profit Margin (NP/PNPM);0.0795330822978049;max
O;Net Profit Margin (NP/PNPM);0.0670707438629655;max
P;Net Profit Margin (NP/PNPM);0.0445626867639237;max
Q;Net Profit Margin (NP/PNPM);0.0987587215674416;max
R;Net Profit Margin (NP/PNPM);0.0474182227500294;max
S;Net Profit Margin (NP/PNPM);0.0115622584037114;max
T;Net Profit Margin (NP/PNPM);0.0709805860332752;max
U;Net Profit Margin (NP/PNPM);0.0445626867639237;max
V;Net Profit Margin (NP/PNPM);0.0445626867639237;max
A;Operating Margin (OP/PNPM);0.0895487255337737;max
B;Operating Margin (OP/PNPM);0.0046897221974123;max
C;Operating Margin (OP/PNPM);0.0557028480147206;max
D;Operating Margin (OP/PNPM);0.0352537448498014;max
E;Operating Margin (OP/PNPM);0.0765817285903874;max
F;Operating Margin (OP/PNPM);0.0788189763385561;max
G;Operating Margin (OP/PNPM);0.0369705405761054;max
H;Operating Margin (OP/PNPM);0.0523206391289311;max
I;Operating Margin (OP/PNPM);0.097600894375482;max
J;Operating Margin (OP/PNPM);0.1036588787178812;max
L;Operating Margin (OP/PNPM);0.2538713315415497;max
M;Operating Margin (OP/PNPM);0.0625985753290469;max
N;Operating Margin (OP/PNPM);0.0587732802828611;max
O;Operating Margin (OP/PNPM);0.0876143167312646;max
P;Operating Margin (OP/PNPM);0.058031460571585;max
Q;Operating Margin (OP/PNPM);0.1247137714576585;max
R;Operating Margin (OP/PNPM);0.0637492740471154;max
S;Operating Margin (OP/PNPM);0.0165432923793636;max
T;Operating Margin (OP/PNPM);0.0878735156244064;max
U;Operating Margin (OP/PNPM);0.058031460571585;max
V;Operating Margin (OP/PNPM);0.058031460571585;max
A;Current Ratio (C+REC+INV)/STL;2.5286704327088425;max
B;Current Ratio (C+REC+INV)/STL;1.2338550541409026;max
C;Current Ratio (C+REC+INV)/STL;1.428234955058569;max
D;Current Ratio (C+REC+INV)/STL;0.9775942794583654;max
E;Current Ratio (C+REC+INV)/STL;1.5484331717276192;max
F;Current Ratio (C+REC+INV)/STL;1.6572695179979609;max
G;Current Ratio (C+REC+INV)/STL;1.3773227145724902;max
H;Current Ratio (C+REC+INV)/STL;1.4135363843249842;max
I;Current Ratio (C+REC+INV)/STL;1.1804836518184767;max
J;Current Ratio (C+REC+INV)/STL;1.521091664547868;max
L;Current Ratio (C+REC+INV)/STL;0.8860169249263389;max
M;Current Ratio (C+REC+INV)/STL;1.2564543798424523;max
