alternative_id;nazwa;topsis_score;topsis_rank
Q;EDUKACJA;0.7078867983112642;1.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.6974885543349914;2.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.6112886951842799;3.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.6067041057743591;4.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5977170138704686;5.0
F;BUDOWNICTWO;0.5919596521190729;6.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.5866613293513542;7.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5848134500961354;8.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.577414484164021;9.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.5740968434613821;10.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.5654269853953747;11.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.5631715248030649;12.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.5574289964826489;13.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.542722570086366;14.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.5376243409910155;15.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.5352026051747318;16.0
G;HANDEL HURTOWY I DETALICZNY;0.5138794638210031;17.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.5053671200289203;18.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.49833350376133684;19.0
B;GÓRNICTWO I WYDOBYWANIE;0.4277587540742159;20.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.36399908906870976;21.0
