alternative_id;nazwa;ensemble_score;ensemble_rank
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.7689196812012726;1.0
Q;EDUKACJA;0.7342231434027804;2.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.6755725504523724;3.0
F;BUDOWNICTWO;0.592506791653716;4.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.5800914348284826;5.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.5735587453876763;6.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.561723029386247;7.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.5616970781535605;8.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.5596713053980984;9.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5404842595419209;10.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.5118653031874384;11.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.5039902084799027;12.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.4904307810770995;13.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.48664188092115557;14.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.4802189188311191;15.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.47690940283729805;16.0
G;HANDEL HURTOWY I DETALICZNY;0.4761845212934416;17.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.447462579118976;18.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.42061109621323567;19.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.4203723212145577;20.0
B;GÓRNICTWO I WYDOBYWANIE;0.34890788726792565;21.0
