ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.6274801389634614;0.48233743618189623;0.9229307485503826;0.4815930529464981;3.0;1.0;3.0
2.0;77;WYNAJEM I DZIERŻAWA;0.5945832949564067;0.5392947502250831;0.7071682398743242;0.5389720830105951;1.0;5.0;1.0
3.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.5480975634011855;0.44877348946179807;0.7510509324783123;0.4475161887086737;7.0;3.0;7.0
4.0;36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.5438869349690487;0.4404462907410548;0.7546629861237095;0.439708451775519;8.0;2.0;8.0
5.0;96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.5141271015000739;0.41746488485989586;0.710922357685087;0.4169391513536165;14.0;4.0;14.0
6.0;61;TELEKOMUNIKACJA;0.5141140361726112;0.4561322866540687;0.6334251047956778;0.4545885205711611;6.0;11.0;6.0
7.0;59;DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH;0.5066107158321402;0.4692315701271091;0.5836726584995684;0.4680950599568725;4.0;17.0;4.0
8.0;63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.5045138853693789;0.42439284523798804;0.667668694687789;0.42392228586433073;13.0;6.0;13.0
9.0;20;PRODUKCJA CHEMIKALIÓW I WYROBÓW CHEMICZNYCH;0.4818140580463316;0.4040624994022831;0.6406391275832675;0.4031250621797053;18.0;8.0;18.0
10.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.4811749502109216;0.46149942236329294;0.5210517335710414;0.46156784927232714;5.0;28.0;5.0
11.0;55;ZAKWATEROWANIE;0.47980674021301295;0.43045270023168153;0.5804646564890295;0.43001180145640683;11.0;19.0;11.0
12.0;60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.4787017149796838;0.4278118759363746;0.5822171592914467;0.4276239216308904;12.0;18.0;12.0
13.0;03;RYBACTWO;0.4776392713611687;0.39608204918718515;0.6440660839201575;0.39526584539925164;22.0;7.0;22.0
14.0;23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.47456114850432574;0.3951019684680063;0.636937010836945;0.3940831921579169;24.0;9.0;24.0
15.0;17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.4724458176595031;0.39556182070277823;0.629340343718171;0.3947885394134994;23.0;12.0;23.0
16.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4706531895029654;0.39452141094600857;0.6260428184176579;0.39372645239104564;25.0;13.0;25.0
17.0;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.46762880736846224;0.3855416505446443;0.6351447309159526;0.38471265143078026;27.0;10.0;27.0
18.0;18;POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI;0.46592714032969185;0.3974646864061438;0.6061384568031007;0.3962885384430623;20.0;15.0;20.0
19.0;35;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.4644996166800773;0.4347557806024652;0.5257965067019632;0.43387459373416437;10.0;26.0;10.0
20.0;38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.4623068984864278;0.3847202052176315;0.6208315524474074;0.3837494660498969;28.0;14.0;28.0
21.0;91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.45593071073908775;0.40065899251210896;0.5687809297209198;0.40004569530055367;19.0;21.0;19.0
22.0;56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.45520555818150965;0.3838025694148721;0.6006797208748165;0.38331294819386;29.0;16.0;29.0
23.0;05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.44357861558174305;0.4961691230691123;0.3382631035148803;0.4947528847324277;2.0;67.0;2.0
24.0;58;DZIAŁALNOŚĆ WYDAWNICZA;0.44308471112957465;0.37759135590386467;0.5768803242041028;0.37679134321748625;33.0;20.0;33.0
25.0;50;TRANSPORT WODNY;0.44080836955535435;0.43644493870586865;0.4506727874961014;0.4354691762020711;9.0;48.0;9.0
