alternative_id;nazwa;topsis_score;topsis_rank
77;WYNAJEM I DZIERŻAWA;0.5856335805434587;1.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.5853570217213859;2.0
05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.5781325931790442;3.0
61;TELEKOMUNIKACJA;0.5099786634498283;4.0
03;RYBACTWO;0.5049720045913055;5.0
96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.5028217485414025;6.0
55;ZAKWATEROWANIE;0.5006819223577452;7.0
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.4992129350556004;8.0
75;DZIAŁALNOŚĆ WETERYNARYJNA;0.498301615519904;9.0
50;TRANSPORT WODNY;0.48341661392848845;10.0
37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.4824755941986818;11.0
60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.4793029656030411;12.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.4784632403292746;13.0
51;TRANSPORT LOTNICZY;0.4765627087168645;14.0
08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.47249397518636604;15.0
16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.47115403357839003;16.0
58;DZIAŁALNOŚĆ WYDAWNICZA;0.4711091005731271;17.0
21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.4706408817285147;18.0
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.46942026602267184;19.0
38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.46753586974133027;20.0
90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.46709386504566486;21.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.46479791782825425;22.0
17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.46405937576979683;23.0
36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.45841109043764816;24.0
56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.45570443690871265;25.0
63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.45469290717464195;26.0
23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.45243085405828226;27.0
91;DZIAŁALNOŚĆ BIBLIOTEK, ARCHIWÓW, MUZEÓW ORAZ POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ;0.4516543176964538;28.0
32;POZOSTAŁA PRODUKCJA WYROBÓW;0.44805983201518523;29.0
52;MAGAZYNOWANIE, PRZECHOWYWANIE I DZIAŁALNOŚĆ USŁUGOWA WSPOMAGAJĄCA TRANSPORT;0.4450205384233588;30.0
19;WYTWARZANIE I PRZETWARZANIE KOKSU I PRODUKTÓW RAFINACJI ROPY NAFTOWEJ;0.44475015241997456;31.0
69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.44364648281149877;32.0
82;DZIAŁALNOŚĆ ZWIĄZANA Z ADMINISTRACYJNĄ OBSŁUGĄ BIURA I POZOSTAŁA DZIAŁALNOŚĆ WSPOMAGAJĄCA PROWADZENIE DZIAŁALNOŚCI GOSPODARCZEJ;0.4414827326776558;33.0
18;POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI;0.4396772905726717;34.0
66;DZIAŁALNOŚĆ WSPOMAGAJĄCA USŁUGI FINANSOWE, UBEZPIECZENIA I FUNDUSZE EMERYTALNE;0.43937123336214234;35.0
22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;0.4370696406182633;36.0
65;DZIAŁALNOŚĆ W ZAKRESIE UBEZPIECZEŃ, REASEKURACJI ORAZ FUNDUSZY EMERYTALNYCH, Z WYŁĄCZENIEM OBOWIĄZKOWEGO UBEZPIECZENIA SPOŁECZNEGO;0.435253941786358;37.0
