alternative_id;nazwa;vikor_score;vikor_rank
03;RYBACTWO;0.840474205689157;1.0
60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.7190784238191282;2.0
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.7149939934758421;3.0
96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.7146845462587816;4.0
77;WYNAJEM I DZIERŻAWA;0.6842459063452802;5.0
21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.669763126268595;6.0
63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.6429270157390727;7.0
85;EDUKACJA;0.5964063681071686;8.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.5854242245200127;9.0
17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.5833246418882987;10.0
56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.5717171099241075;11.0
51;TRANSPORT LOTNICZY;0.5711995548803195;12.0
23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.5702686436459334;13.0
50;TRANSPORT WODNY;0.561342512323896;14.0
39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.5481367367785699;15.0
08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.5468980385957427;16.0
18;POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI;0.5414233693383516;17.0
22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;0.5216444832551115;18.0
14;PRODUKCJA ODZIEŻY;0.520679527616229;19.0
37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.5191906568841758;20.0
38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.5179804903697338;21.0
32;POZOSTAŁA PRODUKCJA WYROBÓW;0.5179181609038505;22.0
61;TELEKOMUNIKACJA;0.5121507903480707;23.0
13;PRODUKCJA WYROBÓW TEKSTYLNYCH;0.5119872700491501;24.0
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.5108115715503897;25.0
86;OPIEKA ZDROWOTNA;0.5048542903352986;26.0
16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.49737442618850436;27.0
05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);0.49215546926381737;28.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.482098314853161;29.0
31;PRODUKCJA MEBLI;0.4795243134624084;30.0
59;DZIAŁALNOŚĆ ZWIĄZANA Z PRODUKCJĄ FILMÓW, NAGRAŃ WIDEO, PROGRAMÓW TELEWIZYJNYCH, NAGRAŃ DŹWIĘKOWYCH I MUZYCZNYCH;0.47292537142622715;31.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.47203216659110336;32.0
11;PRODUKCJA NAPOJÓW;0.4717306274266405;33.0
55;ZAKWATEROWANIE;0.4702634652862926;34.0
49;TRANSPORT LĄDOWY ORAZ TRANSPORT RUROCIĄGOWY;0.45397581368097495;35.0
28;PRODUKCJA MASZYN I URZĄDZEŃ, GDZIE INDZIEJ NIESKLASYFIKOWANA;0.4493354510399691;36.0
10;PRODUKCJA ARTYKUŁÓW SPOŻYWCZYCH;0.44745225877019656;37.0
