alternative_id;nazwa;ensemble_score;ensemble_rank
Q;EDUKACJA;0.6225781968824833;1.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.5914543765766584;2.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.5822864410526537;3.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5806467790486639;4.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.5738482243983762;5.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.5735789087658016;6.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.5625744191126019;7.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.5265767798478941;8.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.5030315381794328;9.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.48189816027222293;10.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.4547782308206686;11.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.3848720708006178;12.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.3769429335314365;13.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.37274463134041247;14.0
B;GÓRNICTWO I WYDOBYWANIE;0.37212704463853014;15.0
F;BUDOWNICTWO;0.3618811657649106;16.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.34864727339768903;17.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3480376511020294;18.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.3479554124799895;19.0
G;HANDEL HURTOWY I DETALICZNY;0.2293502610359763;20.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.22785286484905581;21.0
