alternative_id;nazwa;vikor_score;vikor_rank
Q;EDUKACJA;0.8807406022498485;1.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.8644255685854061;2.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.8392181256616179;3.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.8139293679801334;4.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.7936822239246072;5.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.7493791962188603;6.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.7033451145628484;7.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.7000833934273707;8.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.6738031928654945;9.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.6460289294800194;10.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.5276033592557818;11.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.4687385276856233;12.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.40025374873218666;13.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.3937111788351666;14.0
B;GÓRNICTWO I WYDOBYWANIE;0.37927707837328195;15.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.37335973230516784;16.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.36423242790937493;17.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3628383792570731;18.0
F;BUDOWNICTWO;0.3303246261482591;19.0
G;HANDEL HURTOWY I DETALICZNY;0.15212744621190954;20.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.019580056871045137;21.0
