alternative_id;nazwa;ensemble_score;ensemble_rank
77;WYNAJEM I DZIERŻAWA;0.6474438979337287;1.0
94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.5669447817930235;2.0
64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.5647465885486145;3.0
96;DZIAŁALNOŚĆ USŁUGOWA INDYWIDUALNA;0.5448466306475284;4.0
61;TELEKOMUNIKACJA;0.4915551204383889;5.0
21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.4889910080498206;6.0
03;RYBACTWO;0.48568705694502934;7.0
37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.4846696444396526;8.0
63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.48307618390442664;9.0
60;NADAWANIE PROGRAMÓW OGÓLNODOSTĘPNYCH I ABONAMENTOWYCH, DZIAŁALNOŚĆ AGENCJI INFORMACYJNYCH I POZOSTAŁA DZIAŁALNOŚĆ ZWIĄZANA Z DYSTRYBUCJĄ TREŚCI;0.4785803627079687;10.0
01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.47058250460681406;11.0
08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.4579049931411666;12.0
36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.4494458359226034;13.0
39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.4478400142565946;14.0
56;DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z WYŻYWIENIEM;0.4392330665178836;15.0
23;PRODUKCJA WYROBÓW Z POZOSTAŁYCH MINERALNYCH SUROWCÓW NIEMETALICZNYCH;0.42851896521331684;16.0
58;DZIAŁALNOŚĆ WYDAWNICZA;0.4281953595982374;17.0
17;PRODUKCJA PAPIERU I WYROBÓW Z PAPIERU;0.42811219481658735;18.0
87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.4210890449745753;19.0
55;ZAKWATEROWANIE;0.41947595177954966;20.0
38;DZIAŁALNOŚĆ ZWIĄZANA ZE ZBIERANIEM, ODZYSKIEM I UNIESZKODLIWIANIEM ODPADÓW;0.4167364695458873;21.0
85;EDUKACJA;0.41253390737069107;22.0
16;"PRODUKCJA WYROBÓW Z DREWNA I KORKA, Z WYŁĄCZENIEM MEBLI; PRODUKCJA WYROBÓW ZE SŁOMY I MATERIAŁÓW UŻYWANYCH DO WYPLATANIA";0.4041848195331575;23.0
93;DZIAŁALNOŚĆ SPORTOWA, ROZRYWKOWA I REKREACYJNA;0.4039328579245327;24.0
18;POLIGRAFIA I REPRODUKCJA ZAPISANYCH NOŚNIKÓW INFORMACJI;0.3977239969535257;25.0
22;PRODUKCJA WYROBÓW Z GUMY I TWORZYW SZTUCZNYCH;0.38979846672548607;26.0
32;POZOSTAŁA PRODUKCJA WYROBÓW;0.38545231463122426;27.0
14;PRODUKCJA ODZIEŻY;0.38096462256340025;28.0
86;OPIEKA ZDROWOTNA;0.3801441008233214;29.0
13;PRODUKCJA WYROBÓW TEKSTYLNYCH;0.37368478490780044;30.0
69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.3731745467144306;31.0
50;TRANSPORT WODNY;0.36771240232468677;32.0
31;PRODUKCJA MEBLI;0.36755855832904005;33.0
