kpi_id;cat_id;value;direction
A;Investment Ratio (IO/PNPM);0.0355218184326287;max
B;Investment Ratio (IO/PNPM);0.1308540266322437;max
C;Investment Ratio (IO/PNPM);0.0406038684038709;max
D;Investment Ratio (IO/PNPM);0.0532011891741489;max
E;Investment Ratio (IO/PNPM);0.1205309245639727;max
F;Investment Ratio (IO/PNPM);0.0333954769197561;max
G;Investment Ratio (IO/PNPM);0.0140916420836573;max
H;Investment Ratio (IO/PNPM);0.1091406787559085;max
I;Investment Ratio (IO/PNPM);0.0578151010771658;max
J;Investment Ratio (IO/PNPM);0.049156285672819;max
L;Investment Ratio (IO/PNPM);0.0759208533979486;max
M;Investment Ratio (IO/PNPM);0.1140616582841924;max
N;Investment Ratio (IO/PNPM);0.0190029715303823;max
O;Investment Ratio (IO/PNPM);0.1892623218094302;max
P;Investment Ratio (IO/PNPM);0.0265982157147906;max
Q;Investment Ratio (IO/PNPM);0.0260732818309419;max
R;Investment Ratio (IO/PNPM);0.051984784445726;max
S;Investment Ratio (IO/PNPM);0.0104518015794772;max
T;Investment Ratio (IO/PNPM);0.0450123569078751;max
U;Investment Ratio (IO/PNPM);0.0265982157147906;max
V;Investment Ratio (IO/PNPM);0.0265982157147906;max
A;Amortization Ratio (DEPR/PNPM);0.0372589779746486;max
B;Amortization Ratio (DEPR/PNPM);0.0857177948872539;max
C;Amortization Ratio (DEPR/PNPM);0.0298182676136283;max
D;Amortization Ratio (DEPR/PNPM);0.0476593328553235;max
E;Amortization Ratio (DEPR/PNPM);0.0886792216530507;max
F;Amortization Ratio (DEPR/PNPM);0.0149013104835804;max
G;Amortization Ratio (DEPR/PNPM);0.0108072710819247;max
H;Amortization Ratio (DEPR/PNPM);0.0585234179829802;max
I;Amortization Ratio (DEPR/PNPM);0.0401746768148722;max
J;Amortization Ratio (DEPR/PNPM);0.0729510055206851;max
L;Amortization Ratio (DEPR/PNPM);0.0304698000722771;max
M;Amortization Ratio (DEPR/PNPM);0.0407100701571748;max
N;Amortization Ratio (DEPR/PNPM);0.0255520099785256;max
O;Amortization Ratio (DEPR/PNPM);0.0508321793076642;max
P;Amortization Ratio (DEPR/PNPM);0.0241610319053065;max
Q;Amortization Ratio (DEPR/PNPM);0.0281684983026392;max
R;Amortization Ratio (DEPR/PNPM);0.0406275643580466;max
S;Amortization Ratio (DEPR/PNPM);0.0122267042757029;max
T;Amortization Ratio (DEPR/PNPM);0.0368834977484053;max
U;Amortization Ratio (DEPR/PNPM);0.0241610319053065;max
V;Amortization Ratio (DEPR/PNPM);0.0241610319053065;max
A;Cash Flow Margin (CF/PNPM);0.134199799212176;max
B;Cash Flow Margin (CF/PNPM);0.0974994961759432;max
C;Cash Flow Margin (CF/PNPM);0.0879520855684138;max
D;Cash Flow Margin (CF/PNPM);0.1005785345076677;max
E;Cash Flow Margin (CF/PNPM);0.1637948301685756;max
F;Cash Flow Margin (CF/PNPM);0.0967406695484168;max
G;Cash Flow Margin (CF/PNPM);0.0492498170381636;max
H;Cash Flow Margin (CF/PNPM);0.1178402783563401;max
I;Cash Flow Margin (CF/PNPM);0.1464136062059092;max
J;Cash Flow Margin (CF/PNPM);0.1794131660788512;max
L;Cash Flow Margin (CF/PNPM);0.3737307953041008;max
M;Cash Flow Margin (CF/PNPM);0.137747910772665;max
N;Cash Flow Margin (CF/PNPM);0.1260988368985053;max
O;Cash Flow Margin (CF/PNPM);0.1563201427573276;max
P;Cash Flow Margin (CF/PNPM);0.0967738545070934;max
Q;Cash Flow Margin (CF/PNPM);0.1403392210398447;max
R;Cash Flow Margin (CF/PNPM);0.1004536311113067;max
