alternative_id;nazwa;vikor_score;vikor_rank
Q;EDUKACJA;0.9998952296006266;1.0
B;GÓRNICTWO I WYDOBYWANIE;0.9176174475438208;2.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.7876134548738767;3.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.7138808196762503;4.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.5670224181318441;5.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.5602094704345562;6.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.5514312436832601;7.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.5291945733871809;8.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.486253044575123;9.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.48331215692423757;10.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.4789929743170588;11.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.4725152124595037;12.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.4691798827478034;13.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.4389510262076166;14.0
F;BUDOWNICTWO;0.4121975212548298;15.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.4023606182361491;16.0
G;HANDEL HURTOWY I DETALICZNY;0.40049848400176546;17.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.24142891324089888;18.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.0;20.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.0;20.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.0;20.0
