kpi_id;cat_id;value;direction
A;Sales Profitability (POS/PNPM);0.0623346565915117;max
B;Sales Profitability (POS/PNPM);0.0549501395094513;max
C;Sales Profitability (POS/PNPM);0.0571037234202225;max
D;Sales Profitability (POS/PNPM);0.0415553575976798;max
E;Sales Profitability (POS/PNPM);0.0616054214376124;max
F;Sales Profitability (POS/PNPM);0.075711812585113;max
G;Sales Profitability (POS/PNPM);0.0377369863922411;max
H;Sales Profitability (POS/PNPM);0.0350478142086941;max
I;Sales Profitability (POS/PNPM);0.0809761240427092;max
J;Sales Profitability (POS/PNPM);0.097297337952613;max
L;Sales Profitability (POS/PNPM);0.2501826650244599;max
M;Sales Profitability (POS/PNPM);0.0554066830652991;max
N;Sales Profitability (POS/PNPM);0.0426752965168339;max
O;Sales Profitability (POS/PNPM);0.0701538231205644;max
P;Sales Profitability (POS/PNPM);0.0480463941781456;max
Q;Sales Profitability (POS/PNPM);-0.3224729099757938;max
R;Sales Profitability (POS/PNPM);0.0456416391612203;max
S;Sales Profitability (POS/PNPM);0.0110077636600793;max
T;Sales Profitability (POS/PNPM);0.0769891799723665;max
U;Sales Profitability (POS/PNPM);0.0480463941781456;max
V;Sales Profitability (POS/PNPM);0.0480463941781456;max
A;Cost Share Ratio (TC/PNPM);1.0075574391122422;max
B;Cost Share Ratio (TC/PNPM);1.1505135833245688;max
C;Cost Share Ratio (TC/PNPM);0.9849455304608088;max
D;Cost Share Ratio (TC/PNPM);1.0306301398713655;max
E;Cost Share Ratio (TC/PNPM);0.9782390787266432;max
F;Cost Share Ratio (TC/PNPM);0.960146538841445;max
G;Cost Share Ratio (TC/PNPM);0.9811870553737028;max
H;Cost Share Ratio (TC/PNPM);1.0084375052202863;max
I;Cost Share Ratio (TC/PNPM);0.9515371606880464;max
J;Cost Share Ratio (TC/PNPM);0.9679857784125492;max
L;Cost Share Ratio (TC/PNPM);1.0304094841780238;max
M;Cost Share Ratio (TC/PNPM);1.0393295979142447;max
N;Cost Share Ratio (TC/PNPM);1.0111473649190676;max
O;Cost Share Ratio (TC/PNPM);0.9904445407351978;max
P;Cost Share Ratio (TC/PNPM);0.9605498137728512;max
Q;Cost Share Ratio (TC/PNPM);1.3747868816953417;max
