alternative_id;nazwa;ensemble_score;ensemble_rank
B;GÓRNICTWO I WYDOBYWANIE;0.7437319680851664;1.0
Q;EDUKACJA;0.6789160247619463;2.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.3719986482859941;3.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.34567945715908144;4.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.3419818382022083;5.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.33861111267468463;6.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.3196596868210758;7.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.29592030908398204;8.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.29129761379785535;9.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.29125302398008796;10.0
G;HANDEL HURTOWY I DETALICZNY;0.2674094277893774;11.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.26700396813931404;12.0
F;BUDOWNICTWO;0.26449134180694606;13.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.2631974035678768;14.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.2534105438148461;15.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.24992475352344623;16.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.24861837269506562;17.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.24475779279215226;18.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.23596928025252895;19.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.23061698101268796;20.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.23020574641099842;21.0
