alternative_id;nazwa;ensemble_score;ensemble_rank
B;GÓRNICTWO I WYDOBYWANIE;0.6944031099770605;1.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.6290805659207267;2.0
Q;EDUKACJA;0.5168194631267303;3.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.4960610390382848;4.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.49160780955079697;5.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.425380442933428;6.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.39369742382770423;7.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.3900098616010398;8.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.3899271175238308;9.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.3899052662665118;10.0
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.37812004293007484;11.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.374533784659927;12.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.37369296704641597;13.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.34812551137879866;14.0
F;BUDOWNICTWO;0.34457849763520176;15.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.31840902973807494;16.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.3088451371858361;17.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.3053536762753637;18.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.29680988345517084;19.0
G;HANDEL HURTOWY I DETALICZNY;0.2623959803887276;20.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.08755390620335432;21.0
