ensemble_rank;alternative_id;nazwa;ensemble_score;topsis_score;vikor_score;monte_carlo_score;topsis_rank;vikor_rank;monte_carlo_rank
1.0;94;DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH;0.6552329255178853;0.485118166228519;1.0;0.48571744312492354;5.0;1.0;5.0
2.0;87;POMOC SPOŁECZNA Z ZAKWATEROWANIEM;0.623559118233108;0.6116062939753358;0.6490661805528191;0.6104035342318144;1.0;5.0;1.0
3.0;39;DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA ZWIĄZANA Z GOSPODARKĄ ODPADAMI;0.548397188871411;0.5365233271627307;0.5727342517689512;0.5363005524233999;2.0;6.0;2.0
4.0;58;DZIAŁALNOŚĆ WYDAWNICZA;0.5201089828557852;0.4454619425244764;0.6713434483222;0.44577412904818237;8.0;3.0;8.0
5.0;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;0.5108102295521151;0.4376942686662622;0.6588444436682626;0.4380954543580056;9.0;4.0;9.0
6.0;21;PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH;0.5003576730655867;0.46723951520277435;0.5675054984540278;0.4673288781142409;6.0;7.0;6.0
7.0;03;RYBACTWO;0.49360483332221305;0.3884797239406148;0.7065372063998618;0.3889683714995757;49.0;2.0;48.0
8.0;64;FINANSOWA DZIAŁALNOŚĆ USŁUGOWA, Z WYŁĄCZENIEM UBEZPIECZEŃ I FUNDUSZY EMERYTALNYCH;0.4764834804145073;0.48953219217695065;0.4497340856818596;0.48978120212088194;4.0;21.0;4.0
9.0;90;DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH;0.46640569204622884;0.4174058860598027;0.5655374115954465;0.4177482465294017;14.0;8.0;14.0
10.0;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;0.45790779377461677;0.42986696687206;0.514543981995978;0.4301534724946008;11.0;11.0;11.0
11.0;14;PRODUKCJA ODZIEŻY;0.45750666467042206;0.4152778491564511;0.5428187903380233;0.41569051069778085;17.0;9.0;17.0
12.0;77;WYNAJEM I DZIERŻAWA;0.4537119201854376;0.49166409647115117;0.3766939523217938;0.49162871789342855;3.0;47.0;3.0
13.0;36;POBÓR, UZDATNIANIE I DOSTARCZANIE WODY;0.44987674702502517;0.45177346292621773;0.445647875124787;0.4521403102005695;7.0;22.0;7.0
14.0;63;DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFRASTRUKTURY OBLICZENIOWEJ, PRZETWARZANIA DANYCH, ZARZĄDZANIA STRONAMI INTERNETOWYMI (HOSTING) I POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA W ZAKRESIE INFORMACJI;0.4486921554098649;0.43732273464888294;0.4713429029892332;0.43774263232143107;10.0;14.0;10.0
15.0;02;LEŚNICTWO I POZYSKIWANIE DREWNA;0.4427215586287596;0.4023939907013872;0.5242357342125479;0.4027463217857677;25.0;10.0;25.0
16.0;69;DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE;0.4334699713028586;0.41719969334134155;0.4662582273247686;0.41743781612659453;15.0;15.0;15.0
17.0;85;EDUKACJA;0.43270236501560616;0.40500142833995323;0.4885501977972234;0.40538331879511136;23.0;12.0;23.0
18.0;62;DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE;0.4302418813486327;0.40607428052572053;0.4789488838716961;0.40642422675730955;20.0;13.0;20.0
19.0;37;ODPROWADZANIE I OCZYSZCZANIE ŚCIEKÓW;0.4268788747767944;0.4285522596505905;0.42304374559805813;0.4289770383668833;12.0;30.0;12.0
