kpi_id;cat_id;value;direction
A;Marża netto (NP/PNPM);0.0890369004487442;max
B;Marża netto (NP/PNPM);-0.0336649473515655;max
C;Marża netto (NP/PNPM);0.0424049677987801;max
D;Marża netto (NP/PNPM);0.0164566831126048;max
E;Marża netto (NP/PNPM);0.0603428202178699;max
F;Marża netto (NP/PNPM);0.0680504617982194;max
G;Marża netto (NP/PNPM);0.0291382147492988;max
H;Marża netto (NP/PNPM);0.0357445860256881;max
I;Marża netto (NP/PNPM);0.0851917156579389;max
J;Marża netto (NP/PNPM);0.0738508435422955;max
L;Marża netto (NP/PNPM);0.1434016361585196;max
M;Marża netto (NP/PNPM);0.058147931015291;max
N;Marża netto (NP/PNPM);0.0799818037666483;max
O;Marża netto (NP/PNPM);0.065952195701991;max
P;Marża netto (NP/PNPM);0.043693485869447;max
Q;Marża netto (NP/PNPM);0.0977123358836885;max
R;Marża netto (NP/PNPM);0.0480501471763864;max
S;Marża netto (NP/PNPM);0.0117834398359724;max
T;Marża netto (NP/PNPM);0.0724114668973565;max
U;Marża netto (NP/PNPM);0.043693485869447;max
V;Marża netto (NP/PNPM);0.043693485869447;max
A;Marża operacyjna (OP/PNPM);0.0892011360334527;max
B;Marża operacyjna (OP/PNPM);-0.0289823109448563;max
C;Marża operacyjna (OP/PNPM);0.0533725910327978;max
D;Marża operacyjna (OP/PNPM);0.0364218267252427;max
E;Marża operacyjna (OP/PNPM);0.0772474588525951;max
F;Marża operacyjna (OP/PNPM);0.0774547339086985;max
G;Marża operacyjna (OP/PNPM);0.0358701915789924;max
H;Marża operacyjna (OP/PNPM);0.0499546542647454;max
I;Marża operacyjna (OP/PNPM);0.0964540936706056;max
J;Marża operacyjna (OP/PNPM);0.1035795682843344;max
L;Marża operacyjna (OP/PNPM);0.259029438553666;max
M;Marża operacyjna (OP/PNPM);0.0635244129441415;max
N;Marża operacyjna (OP/PNPM);0.0576347472970225;max
O;Marża operacyjna (OP/PNPM);0.0882758128244414;max
P;Marża operacyjna (OP/PNPM);0.0564529540992557;max
Q;Marża operacyjna (OP/PNPM);0.1254037334848839;max
R;Marża operacyjna (OP/PNPM);0.0642791486278933;max
S;Marża operacyjna (OP/PNPM);0.0165981440709593;max
T;Marża operacyjna (OP/PNPM);0.0890352498391888;max
U;Marża operacyjna (OP/PNPM);0.0564529540992557;max
V;Marża operacyjna (OP/PNPM);0.0564529540992557;max
A;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);2.549238147410096;max
B;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.2385852309431544;max
C;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.4238154785159454;max
D;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);0.9762661244633396;max
E;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.5463224315528696;max
F;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.6687961560873497;max
G;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.3757629503878857;max
H;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.411244058286165;max
I;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.176966940890069;max
J;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.5308700377416216;max
L;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);0.9003511238629454;max
M;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.2475784813248374;max
N;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.6260357302290698;max
O;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);0.9346687651207228;max
P;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.2622840431568112;max
Q;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);2.0042962216462072;max
R;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.317898595272648;max
S;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);0.9107072737017824;max
T;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.709703576387569;max
U;Wskaźnik bieżącej płynności ((C+REC+INV)/STL);1.2622840431568112;max
