alternative_id;nazwa;vikor_score;vikor_rank
A;ROLNICTWO, LEŚNICTWO I RYBACTWO;0.994329327826719;1.0
Q;EDUKACJA;0.9738957067765064;2.0
T;POZOSTAŁA DZIAŁALNOŚĆ USŁUGOWA;0.7302781394472432;3.0
E;"DOSTAWA WODY; GOSPODAROWANIE ŚCIEKAMI I ODPADAMI ORAZ DZIAŁALNOŚĆ ZWIĄZANA Z REKULTYWACJĄ";0.6385352390250119;4.0
J;DZIAŁALNOŚĆ WYDAWNICZA I NADAWCZA ORAZ ZWIĄZANA Z PRODUKCJĄ I DYSTRYBUCJĄ TREŚCI;0.6335228132218255;5.0
F;BUDOWNICTWO;0.6085167822300355;6.0
N;DZIAŁALNOŚĆ PROFESJONALNA, NAUKOWA I TECHNICZNA;0.5867708142750238;7.0
H;TRANSPORT I GOSPODARKA MAGAZYNOWA;0.5069830891375839;8.0
R;OPIEKA ZDROWOTNA I POMOC SPOŁECZNA;0.46994475323745166;9.0
V;ORGANIZACJE I ZESPOŁY EKSTERYTORIALNE;0.4089569629264186;11.0
U;GOSPODARSTWA DOMOWE ZATRUDNIAJĄCE PRACOWNIKÓW ORAZ GOSPODARSTWA DOMOWE PRODUKUJĄCE WYROBY I ŚWIADCZĄCE USŁUGI NA WŁASNE POTRZEBY;0.4089569629264186;11.0
P;"ADMINISTRACJA PUBLICZNA I OBRONA NARODOWA; OBOWIĄZKOWE UBEZPIECZENIA SPOŁECZNE";0.4089569629264186;11.0
M;DZIAŁALNOŚĆ ZWIĄZANA Z OBSŁUGĄ RYNKU NIERUCHOMOŚCI;0.4084459099991704;13.0
I;DZIAŁALNOŚĆ ZWIĄZANA Z ZAKWATEROWANIEM I USŁUGAMI GASTRONOMICZNYMI;0.38854030979191645;14.0
L;DZIAŁALNOŚĆ FINANSOWA I UBEZPIECZENIOWA;0.3712030582516097;15.0
C;PRZETWÓRSTWO PRZEMYSŁOWE;0.3287020933627376;16.0
G;HANDEL HURTOWY I DETALICZNY;0.23233038464287636;17.0
O;DZIAŁALNOŚĆ W ZAKRESIE USŁUG ADMINISTROWANIA I DZIAŁALNOŚĆ WSPIERAJĄCA;0.2237497282750096;18.0
D;WYTWARZANIE I ZAOPATRYWANIE W ENERGIĘ ELEKTRYCZNĄ, GAZ, PARĘ WODNĄ I POWIETRZE DO UKŁADÓW KLIMATYZACYJNYCH;0.19381368483207795;19.0
S;DZIAŁALNOŚĆ ZWIĄZANA Z KULTURĄ, SPORTEM I REKREACJĄ;0.16889221261463816;20.0
B;GÓRNICTWO I WYDOBYWANIE;0.0649777003043771;21.0
