PKD_INDEX;symbol;nazwa;TYP_INDEX
0;01;UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA;1
1;01.1;Uprawy rolne inne niż wieloletnie;2
2;01.11;Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona;3
3;01.11.Z;Uprawa zbóż innych niż ryż, roślin strączkowych i roślin oleistych na nasiona;4
4;01.12;Uprawa ryżu;3
5;01.12.Z;Uprawa ryżu;4
6;01.13;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;3
7;01.13.Z;Uprawa warzyw, włączając melony oraz uprawa roślin korzeniowych i roślin bulwiastych;4
8;01.14;Uprawa trzciny cukrowej;3
9;01.14.Z;Uprawa trzciny cukrowej;4
10;01.15;Uprawa tytoniu;3
11;01.15.Z;Uprawa tytoniu;4
12;01.16;Uprawa roślin włóknistych;3
13;01.16.Z;Uprawa roślin włóknistych;4
14;01.19;Pozostałe uprawy rolne inne niż wieloletnie;3
15;01.19.Z;Pozostałe uprawy rolne inne niż wieloletnie;4
16;01.2;Uprawa roślin wieloletnich;2
17;01.21;Uprawa winogron;3
18;01.21.Z;Uprawa winogron;4
19;01.22;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;3
20;01.22.Z;Uprawa drzew i krzewów owocowych tropikalnych i podzwrotnikowych;4
21;01.23;Uprawa drzew i krzewów owocowych cytrusowych;3
22;01.23.Z;Uprawa drzew i krzewów owocowych cytrusowych;4
23;01.24;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;3
24;01.24.Z;Uprawa drzew i krzewów owocowych ziarnkowych i pestkowych;4
25;01.25;Uprawa pozostałych drzew i krzewów owocowych oraz orzechowych;3
26;01.25.Z;Uprawa pozostałych drzew i krzewów owocowych oraz orzechowych;4
27;01.26;Uprawa drzew oleistych;3
28;01.26.Z;Uprawa drzew oleistych;4
29;01.27;Uprawa roślin wykorzystywanych do produkcji napojów;3
30;01.27.Z;Uprawa roślin wykorzystywanych do produkcji napojów;4
31;01.28;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;3
32;01.28.Z;Uprawa roślin przyprawowych i aromatycznych oraz roślin wykorzystywanych do produkcji leków i wyrobów farmaceutycznych;4
33;01.29;Uprawa pozostałych roślin wieloletnich;3
34;01.29.Z;Uprawa pozostałych roślin wieloletnich;4
35;01.3;Rozmnażanie roślin;2
36;01.30;Rozmnażanie roślin;3
37;01.30.Z;Rozmnażanie roślin;4
38;01.4;Chów i hodowla zwierząt;2
39;01.41;Chów i hodowla bydła mlecznego;3
40;01.41.Z;Chów i hodowla bydła mlecznego;4
41;01.42;Chów i hodowla pozostałego bydła i bawołów;3
42;01.42.Z;Chów i hodowla pozostałego bydła i bawołów;4
43;01.43;Chów i hodowla koni i pozostałych zwierząt koniowatych;3
44;01.43.Z;Chów i hodowla koni i pozostałych zwierząt koniowatych;4
45;01.44;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;3
46;01.44.Z;Chów i hodowla wielbłądów i zwierząt wielbłądowatych;4
47;01.45;Chów i hodowla owiec i kóz;3
48;01.45.Z;Chów i hodowla owiec i kóz;4
49;01.46;Chów i hodowla świń;3
50;01.46.Z;Chów i hodowla świń;4
51;01.47;Chów i hodowla drobiu;3
52;01.47.Z;Chów i hodowla drobiu;4
53;01.48;Chów i hodowla pozostałych zwierząt;3
54;01.48.Z;Chów i hodowla pozostałych zwierząt;4
55;01.5;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);2
56;01.50;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);3
57;01.50.Z;Uprawy rolne połączone z chowem i hodowlą zwierząt (działalność mieszana);4
58;01.6;Działalność usługowa wspomagająca rolnictwo i następująca po zbiorach;2
59;01.61;Działalność usługowa wspomagająca produkcję roślinną;3
60;01.61.Z;Działalność usługowa wspomagająca produkcję roślinną;4
61;01.62;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich;3
62;01.62.Z;Działalność usługowa wspomagająca chów i hodowlę zwierząt gospodarskich;4
63;01.63;Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;3
64;01.63.Z;Działalność usługowa następująca po zbiorach oraz obróbka nasion dla celów rozmnażania roślin;4
65;01.7;Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową;2
66;01.70;Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową;3
67;01.70.Z;Łowiectwo i pozyskiwanie zwierząt łownych, włączając działalność usługową;4
68;02;LEŚNICTWO I POZYSKIWANIE DREWNA;1
69;02.1;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;2
70;02.10;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;3
71;02.10.Z;Gospodarka leśna i pozostała działalność leśna, z wyłączeniem pozyskiwania produktów leśnych;4
72;02.2;Pozyskiwanie drewna;2
73;02.20;Pozyskiwanie drewna;3
74;02.20.Z;Pozyskiwanie drewna;4
75;02.3;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;2
76;02.30;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;3
77;02.30.Z;Pozyskiwanie dziko rosnących produktów leśnych, z wyłączeniem drewna;4
78;02.4;Działalność usługowa związana z leśnictwem;2
79;02.40;Działalność usługowa związana z leśnictwem;3
80;02.40.Z;Działalność usługowa związana z leśnictwem;4
81;03;RYBACTWO;1
82;03.1;Rybołówstwo;2
83;03.11;Rybołówstwo w wodach morskich;3
84;03.11.Z;Rybołówstwo w wodach morskich;4
85;03.12;Rybołówstwo w wodach śródlądowych;3
86;03.12.Z;Rybołówstwo w wodach śródlądowych;4
87;03.2;Akwakultura;2
88;03.21;Akwakultura w wodach morskich;3
89;03.21.Z;Akwakultura w wodach morskich;4
90;03.22;Akwakultura w wodach śródlądowych;3
91;03.22.Z;Akwakultura w wodach śródlądowych;4
92;03.3;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;2
93;03.30;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;3
94;03.30.Z;Działalność usługowa wspomagająca rybołówstwo i akwakulturę;4
95;05;WYDOBYWANIE WĘGLA KAMIENNEGO I WĘGLA BRUNATNEGO (LIGNITU);1
96;05.1;Wydobywanie węgla kamiennego;2
97;05.10;Wydobywanie węgla kamiennego;3
98;05.10.Z;Wydobywanie węgla kamiennego;4
99;05.2;Wydobywanie węgla brunatnego (lignitu);2
100;05.20;Wydobywanie węgla brunatnego (lignitu);3
101;05.20.Z;Wydobywanie węgla brunatnego (lignitu);4
102;06;GÓRNICTWO ROPY NAFTOWEJ I GAZU ZIEMNEGO;1
103;06.1;Górnictwo ropy naftowej;2
104;06.10;Górnictwo ropy naftowej;3
105;06.10.Z;Górnictwo ropy naftowej;4
106;06.2;Górnictwo gazu ziemnego;2
107;06.20;Górnictwo gazu ziemnego;3
108;06.20.Z;Górnictwo gazu ziemnego;4
109;07;GÓRNICTWO RUD METALI;1
110;07.1;Górnictwo rud żelaza;2
111;07.10;Górnictwo rud żelaza;3
112;07.10.Z;Górnictwo rud żelaza;4
113;07.2;Górnictwo rud metali nieżelaznych;2
114;07.21;Górnictwo rud uranu i toru;3
115;07.21.Z;Górnictwo rud uranu i toru;4
116;07.29;Górnictwo pozostałych rud metali nieżelaznych;3
117;07.29.Z;Górnictwo pozostałych rud metali nieżelaznych;4
118;08;POZOSTAŁE GÓRNICTWO I WYDOBYWANIE;1
119;08.1;Wydobywanie kamienia, piasku i gliny;2
120;08.11;Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał;3
121;08.11.Z;Wydobywanie kamieni ozdobnych, wapienia, gipsu, łupków oraz pozostałych kamieni i skał;4
122;08.12;Wydobywanie żwiru, piasku, gliny i kaolinu;3
123;08.12.Z;Wydobywanie żwiru, piasku, gliny i kaolinu;4
124;08.9;Górnictwo i wydobywanie gdzie indziej niesklasyfikowane;2
125;08.91;Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów;3
126;08.91.Z;Wydobywanie minerałów dla przemysłu chemicznego oraz do produkcji nawozów;4
127;08.92;Wydobywanie torfu;3
