ensemble_rank,alternative_id,nazwa,ensemble_score,topsis_score,vikor_score,monte_carlo_score,topsis_rank,vikor_rank,monte_carlo_rank
1.0,94,DZIAŁALNOŚĆ ORGANIZACJI CZŁONKOWSKICH,0.7204817705814689,0.6543875251551535,1.0,0.513334962589024,1.0,1.0,3.0
2.0,03,RYBACTWO,0.5480602901140712,0.5235263199278705,0.6349566573756183,0.48753208118799973,2.0,2.0,8.0
3.0,58,DZIAŁALNOŚĆ WYDAWNICZA,0.52151698092194,0.5126464270878714,0.550374968645704,0.5021174127348824,3.0,3.0,4.0
4.0,02,LEŚNICTWO I POZYSKIWANIE DREWNA,0.4987263282282463,0.498378058069946,0.4497979716592334,0.5465536424047561,4.0,6.0,1.0
5.0,01,"UPRAWY ROLNE, CHÓW I HODOWLA ZWIERZĄT, ŁOWIECTWO, W TYM DZIAŁALNOŚĆ USŁUGOWA",0.4788952856582322,0.4719778480763926,0.49012157364579423,0.4747131661467956,8.0,4.0,10.0
6.0,21,PRODUKCJA PODSTAWOWYCH SUBSTANCJI FARMACEUTYCZNYCH ORAZ LEKÓW I POZOSTAŁYCH WYROBÓW FARMACEUTYCZNYCH,0.46636782081685557,0.47692478105464686,0.43311784091517336,0.488393398725926,6.0,7.0,7.0
7.0,90,DZIAŁALNOŚĆ TWÓRCZA I DZIAŁALNOŚĆ ZWIĄZANA Z WYSTAWIANIEM PRZEDSTAWIEŃ ARTYSTYCZNYCH,0.46428767775667723,0.46281223276843586,0.47116386649232,0.4590457794136111,11.0,5.0,19.0
8.0,08,POZOSTAŁE GÓRNICTWO I WYDOBYWANIE,0.4520967083316828,0.47521393782188964,0.3912696332769434,0.488697440791376,7.0,10.0,6.0
9.0,85,EDUKACJA,0.4451015729734834,0.46497084015512197,0.39585167994288006,0.4736180627680666,9.0,9.0,12.0
10.0,69,"DZIAŁALNOŚĆ PRAWNICZA, RACHUNKOWO-KSIĘGOWA I DORADZTWO PODATKOWE",0.4385160441798523,0.4645896014087781,0.36929211309291143,0.48039728939498444,10.0,14.0,9.0
11.0,14,PRODUKCJA ODZIEŻY,0.4382928214033185,0.440254796501727,0.41986770968031184,0.45427174812719295,20.0,8.0,20.0
12.0,62,"DZIAŁALNOŚĆ ZWIĄZANA Z PROGRAMOWANIEM, DORADZTWEM W ZAKRESIE INFORMATYKI I DZIAŁALNOŚCI POWIĄZANE",0.42568652212442126,0.4428321649336158,0.38025313065367694,0.4531422781782783,18.0,11.0,22.0
